Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	ОПТИЧЕСКИЕ МУФТЫ	Unnamed: 9
									00:00:00
						allproftelecom.kz			
									
									
"Дорогие клиенты, мы постарались сделать для вас прайс-лист максимально удобным.
- цены указаны в тенге, с НДС, без учета доставки;
- вы можете забить артикул в поисковой системе нашего сайта allproftelecom.kz и легко найдете нужное вам описание;
- если вы пройдете регистрацию на нашем сайте, вы сможете видеть актуальные остатки по продуктам на наших складах."									
									
Огнескойкий кабель с низким дымо- и газовыделением									
Артикул		Наименование		1 Диллер	2 Среднеопт.	3 Розница	Цена сайт	Вес 1 бухты (200м)	
									
		КПСнг(А)-FRLS 1x2x0,2	м	68.20015287274173	72.97416357383365	80.27157993121702	88.29873792433872	2.7	
		КПСнг(А)-FRLS 1x2x0,35	м	102.1390280507273	109.28876001427822	120.21763601570606	132.2393996172767	4	
		КПСнг(А)-FRLS 1x2x0,5	м	134.6156871122424	144.03878521009938	158.44266373110932	174.28693010422026	5	
		КПСнг(А)-FRLS 1x2x0,75	м	184.42401567220787	197.33369676926245	217.0670664461887	238.7737730908076	7.75	
		КПСнг(А)-FRLS 1x2x1,0	м	236.54427389582895	253.102373068537	278.4126103753907	306.2538714129298	8.4	
		КПСнг(А)-FRLS 1x2x1,5	м	334.95906834859926	358.4062031330012	394.2468234463014	433.6715057909316	10.4	
		КПСнг(А)-FRLS 1x2x2,5	м	531.0945406125509	568.2711584554295	625.0982743009724	687.6081017310697	15.8	
		КПСнг(А)-FRLS 2x2x0,2	м	126.76355219286457	135.63700084636508	149.2007009310016	164.12077102410177	7.6	
		КПСнг(А)-FRLS 2x2x0,35	м	197.8156208640975	211.66271432458433	232.82898575704277	256.1118843327471	9.3	
		КПСнг(А)-FRLS 2x2x0,5	м	259.2332660332927	277.3795946556232	305.11755412118555	335.62930953330414	11	
		КПСнг(А)-FRLS 2x2x0,75	м	355.00030998815964	379.8503316873308	417.83536485606396	459.6189013416704	11.9	
		КПСнг(А)-FRLS 2x2x1,0	м	459.94172430234147	492.1376450035054	541.351409503856	595.4865504542416	16	
		КПСнг(А)-FRLS 2x2x1,5	м	652.7899964211063	698.4852961705838	768.3338257876422	845.1672083664065	20	
		КПСЭнг(А)-FRLS 1x2x0,2	м	74.6287214255415	79.85273192532941	87.83800511786235	96.62180562964859	4.9	
		КПСЭнг(А)-FRLS 1x2x0,35	м	107.49734803849512	115.02216240118979	126.52437864130877	139.17681650543966	6	
		КПСЭнг(А)-FRLS 1x2x0,5	м	140.07581059449768	149.88111733611254	164.86922906972381	181.35615197669622	7	
		КПСЭнг(А)-FRLS 1x2x0,75	м	190.24955962602868	203.5670287998507	223.92373167983578	246.3161048478194	8.6	
		КПСЭнг(А)-FRLS 1x2x1,0	м	242.57705732539227	259.55745133816976	285.51319647198676	314.06451611918544	9.9	
		КПСЭнг(А)-FRLS 1x2x1,5	м	342.99457708232563	367.00419747808843	403.7046172258973	444.0750789484871	10	
		КПСЭнг(А)-FRLS 1x2x2,5	м	539.4930993259825	577.2576162788013	634.9833779066814	698.4817156973496	17.8	
		КПСЭнг(А)-FRLS 2x2x0,2	м	136.4414648093596	145.99236734601476	160.59160408061624	176.65076448867788	8.5	
		КПСЭнг(А)-FRLS 2x2x0,35	м	206.89414756270418	221.37673789209347	243.51441168130285	267.86585284943317	10	
		КПСЭнг(А)-FRLS 2x2x0,5	м	271.8165445967169	290.84370271848707	319.9280729903358	351.9208802893694	11.5	
		КПСЭнг(А)-FRLS 2x2x0,75	м	372.02953512175753	398.07160258028057	437.87876283830866	481.66663912213954	12	
		КПСЭнг(А)-FRLS 2x2x1,0	м	476.04902461259144	509.37245633547286	560.3097019690202	616.3406721659223	17.3	
		КПСЭнг(А)-FRLS 2x2x1,5	м	672.6174929149533	719.7007174190002	791.6707891609002	870.8378680769903	22	
									
Огнескойкий кабель не выделяющий галогенов									
Артикул		Наименование		1 Диллер	2 Среднеопт.	3 Розница	Цена сайт	Вес 1 бухты (200м)	
		КПСнг(А)-FRHF 1x2x0,2	м	79.62723662930166	85.20114319335278	93.72125751268807	103.09338326395688	2.7	
		КПСнг(А)-FRHF 1x2x0,35	м	114.45489773120913	122.46674057239377	134.71341462963315	148.18475609259647	4	
		КПСнг(А)-FRHF 1x2x0,5	м	147.49104228975236	157.81541525003504	173.59695677503856	190.95665245254244	5	
		КПСнг(А)-FRHF 1x2x0,75	м	201.82405702706794	215.9517410189627	237.54691512085898	261.3016066329449	7.75	
		КПСнг(А)-FRHF 1x2x1,0	м	254.5216367130215	272.33815128293304	299.57196641122636	329.529163052349	8.4	
		КПСнг(А)-FRHF 1x2x1,5	м	358.95858708680066	384.0856881828767	422.49425700116444	464.74368270128093	10.4	
		КПСнг(А)-FRHF 1x2x2,5	м	558.0786230999589	597.1441267169561	656.8585393886517	722.5443933275169	15.8	
		КПСнг(А)-FRHF 2x2x0,2	м	139.63253591695874	149.40681343114588	164.34749477426047	180.78224425168654	7.6	
		КПСнг(А)-FRHF 2x2x0,35	м	212.4106479336746	227.27939328903184	250.00733261793505	275.0080658797286	9.3	
		КПСнг(А)-FRHF 2x2x0,5	м	274.1182688662692	293.30654768690806	322.63720245559887	354.9009227011588	11	
		КПСнг(А)-FRHF 2x2x0,75	м	375.109406648717	401.36706511412723	441.50377162553997	485.654148788094	11.9	
		КПСнг(А)-FRHF 2x2x1,0	м	480.8448530364383	514.5039927489889	565.9543920238879	622.5498312262768	16	
		КПСнг(А)-FRHF 2x2x1,5	м	680.5209546394528	728.1574214642146	800.9731636106361	881.0704799716998	20	
		КПСЭнг(А)-FRHF 1x2x0,2	м	85.20960349692928	91.17427574171433	100.29170331588577	110.32087364747436	4.9	
		КПСЭнг(А)-FRHF 1x2x0,35	м	120.18235388692011	128.59511865900453	141.45463052490499	155.60009357739548	6	
		КПСЭнг(А)-FRHF 1x2x0,5	м	153.29200085089374	164.0224409104563	180.42468500150196	198.46715350165218	7	
		КПСЭнг(А)-FRHF 1x2x0,75	м	208.02164624633068	222.58316148357383	244.84147763193124	269.3256253951244	8.6	
		КПСЭнг(А)-FRHF 1x2x1,0	м	260.9043050031894	279.1676063534127	307.08436698875397	337.7928036876294	9.9	
		КПСЭнг(А)-FRHF 1x2x1,5	м	367.3848177593158	393.10175500246794	432.41193050271477	475.6531235529863	10	
		КПСЭнг(А)-FRHF 1x2x2,5	м	566.8667463112333	606.5474185530197	667.2021604083218	733.9223764491541	17.8	
		КПСЭнг(А)-FRHF 2x2x0,2	м	149.77882342204848	160.2633410615919	176.28967516775108	193.91864268452622	8.5	
		КПСЭнг(А)-FRHF 2x2x0,35	м	221.75924298937923	237.28238999863578	261.0106289984994	287.11169189834936	10	
		КПСЭнг(А)-FRHF 2x2x0,5	м	287.10114414988635	307.1982242403784	337.9180466644163	371.70985133085793	11.5	
		КПСЭнг(А)-FRHF 2x2x0,75	м	392.6618956572805	420.14822835329016	462.1630511886192	508.37935630748115	12	
		КПСЭнг(А)-FRHF 2x2x1,0	м	497.3348628508899	532.1483032504523	585.3631335754975	643.8994469330473	17.3	
		КПСЭнг(А)-FRHF 2x2x1,5	м	700.849163323542	749.90860475619	824.8994652318091	907.3894117549901	22	
									
Огнескойкий кабель с низкой токсичностью продуктов горения									
Артикул		Наименование		1 Диллер	2 Среднеопт.	3 Розница	Цена сайт	Вес 1 бухты (200м)	
		КПСнг(А)-FRLSLTx 1x2x0,2	м	78.97088512600165	84.49884708482176	92.94873179330395	102.24360497263436	2.7	
		КПСнг(А)-FRLSLTx 1x2x0,35	м	112.92006301580682	120.8244674269133	132.90691416960465	146.19760558656512	4	
		КПСнг(А)-FRLSLTx 1x2x0,5	м	145.86726726069475	156.07797596894338	171.68577356583774	188.85435092242153	5	
		КПСнг(А)-FRLSLTx 1x2x0,75	м	200.33209059872917	214.35533694064023	235.79087063470428	259.36995769817474	7.75	
		КПСнг(А)-FRLSLTx 1x2x1,0	м	262.67336990181644	281.0605057949436	309.16655637443796	340.08321201188176	8.4	
		КПСнг(А)-FRLSLTx 1x2x1,5	м	366.0717998697858	391.69682586067086	430.86650844673795	473.9531592914118	10.4	
		КПСнг(А)-FRLSLTx 1x2x2,5	м	576.9601423149567	617.3473522770037	679.0820875047041	746.9902962551746	15.8	
		КПСнг(А)-FRLSLTx 2x2x0,2	м	139.53824780556596	149.3059251519556	164.23651766715116	180.6601694338663	7.6	
		КПСнг(А)-FRLSLTx 2x2x0,35	м	206.78816788753514	221.2633396396626	243.3896736036289	267.7286409639918	9.3	
		КПСнг(А)-FRLSLTx 2x2x0,5	м	278.48246406023117	297.9762365444474	327.7738601988921	360.5512462187814	11	
		КПСнг(А)-FRLSLTx 2x2x0,75	м	381.824680648214	408.552408293589	449.40764912294793	494.34841403524274	11.9	
		КПСнг(А)-FRLSLTx 2x2x1,0	м	506.58258985268463	542.0433711423726	596.2477082566099	655.872479082271	16	
		КПСнг(А)-FRLSLTx 2x2x1,5	м	707.3806598120187	756.8973059988601	832.5870365987462	915.8457402586208	20	
		КПСЭнг(А)-FRLSLTx 1x2x0,2	м	90.61970992269622	96.96308961728495	106.65939857901346	117.3253384369148	4.9	
		КПСЭнг(А)-FRLSLTx 1x2x0,35	м	125.96242957045008	134.7797996403816	148.2577796044198	163.0835575648618	6	
		КПСЭнг(А)-FRLSLTx 1x2x0,5	м	151.86133393267272	162.49162730795982	178.74079003875582	196.61486904263143	7	
		КПСЭнг(А)-FRLSLTx 1x2x0,75	м	206.74381626634485	221.215883404989	243.33747174548793	267.6712189200367	8.6	
		КПСЭнг(А)-FRLSLTx 1x2x1,0	м	269.45904578816595	288.3211789933376	317.1532968926714	348.86862658193854	9.9	
		КПСЭнг(А)-FRLSLTx 1x2x1,5	м	374.91283653714703	401.1567350947473	441.2724086042221	485.39964946464437	10	
		КПСЭнг(А)-FRLSLTx 1x2x2,5	м	586.1706655098358	627.2026120955243	689.9228733050768	758.9151606355846	17.8	
		КПСЭнг(А)-FRLSLTx 2x2x0,2	м	149.00224801243797	159.43240537330865	175.37564591063952	192.91321050170347	8.5	
		КПСЭнг(А)-FRLSLTx 2x2x0,35	м	217.76890985964891	233.01273354982436	256.31400690480683	281.9454075952875	10	
		КПСЭнг(А)-FRLSLTx 2x2x0,5	м	284.85366994835	304.7934268447345	335.27276952920795	368.8000464821288	11.5	
		КПСЭнг(А)-FRLSLTx 2x2x0,75	м	390.3234021757942	417.6460403280998	459.4106443609098	505.35170879700087	12	
		КПСЭнг(А)-FRLSLTx 2x2x1,0	м	515.3158880106383	551.388000171383	606.5268001885214	667.1794802073736	17.3	
		КПСЭнг(А)-FRLSLTx 2x2x1,5	м	716.3627033158111	766.508092547918	843.1589018027098	927.4747919829808	22	
									
									
									
									
КОНТАКТЫ МЕНЕДЖЕРОВ ОТДЕЛА ПРОДАЖ:								НАШИ АДРЕСА:	
									
Арыстан		8 705 829 34 00						г. Караганда: пр. Бухар-Жырау, 82	
Роман		8 700 944 85 15						                     ул. Привокзальная, 10	
Мария		8 702 661 35 41						г. Алматы: ул. Татибекова, 10	
Сергей		8 708 808 64 88						г. Атырау: Куттыгай Батыра 49	
