Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ КРОССЫ	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12
												
												
												
												
												
												
												
КРОССЫ ОПТИЧЕСКИЕ FDF 19' (в стойку)												
												
Артикул		Кросс оптический 19' SC/UPC			Цена сайт	Цена сайт						
												
670453		Кросс оптический Neolan Pro 2U-SC/UPC-48-48-48 (RAL 9005)	шт		34549.5	37150	в наличии					
												
												
Артикул		Кросс оптический 19' SC/APC				Цена сайт						
		СТАНДАРТНЫЙ, цвет - серый										
600463		Кросс оптический Neolan 1U-SC/APC-4-4-4	шт		10099.800000000001	10860	в наличии					
499308		Кросс оптический Neolan 1U-SC/APC-8-8-8	шт		11662.2	12540	в наличии					
599731		Кросс оптический Neolan 1U-SC/APC-12-12-12	шт		13224.6	14220	в наличии					
499306		Кросс оптический Neolan 1U-SC/APC-16-16-16	шт		14787	15900	в наличии					
499307		Кросс оптический Neolan 1U-SC/APC-24-24-24	шт		17911.8	19260	в наличии					
685133		Кросс оптический Neolan 2U-SC/АPC-32-32-32	шт		23343	25100	в наличии					
600253		Кросс оптический Neolan 2U-SC/АPC-36-36-36	шт		24905.4	26780	в наличии					
124556		Кросс оптический Neolan 2U-SC/АPC-48-48-48	шт		29592.600000000002	31820	в наличии					
601284		Кросс оптический 4U-SC/APC-96-96-96	шт		113785.5	122350	в наличии					
743088		Кросс оптический 4U-SC/APC-144-144-144	шт		145396.2	156340	в наличии					
												
		ЛИНЕЙКА PRO, цвет - черный										
652159		Кросс оптический Neolan Pro 1U-SC/APC-4-4-4 (RAL 9005)	шт		13977.900000000001	15030	в наличии					
601587		Кросс оптический Neolan Pro 1U-SC/APC-8-8-8 (RAL 9005)	шт		15577.5	16750	в наличии					
602184		Кросс оптический Neolan Pro 1U-SC/APC-12-12-12 (RAL 9005)	шт		17177.100000000002	18470	в наличии					
602384		Кросс оптический Neolan Pro 1U-SC/APC-16-16-16 (RAL 9005)	шт		18776.7	20190	в наличии					
603985		Кросс оптический Neolan Pro 1U-SC/APC-24-24-24 (RAL 9005)	шт		21975.9	23630	в наличии					
601784		Кросс оптический Neolan Pro 2U-SC/АPC-32-32-32 (RAL 9005)	шт		28151.100000000002	30270	в наличии					
601281		Кросс оптический Neolan Pro 2U-SC/АPC-36-36-36 (RAL 9005)	шт		29750.7	31990	в наличии					
603285		Кросс оптический Neolan Pro 2U-SC/АPC-48-48-48 (RAL 9005)	шт		34549.5	37150	в наличии					
												
												
Артикул		Кросс оптический 19' LC/UPC				Цена сайт						
		СТАНДАРТНЫЙ, цвет - серый										
499402		Кросс оптический Neolan 1U-LC/UPC-4-4-4	шт		10267.2	11040	в наличии					
499401		Кросс оптический Neolan 1U-LC/UPC-8-8-8	шт		11997	12900	в наличии					
599104		Кросс оптический Neolan 1U-LC/UPC-12-12-12	шт		13726.800000000001	14760	в наличии					
596785		Кросс оптический Neolan 1U-LC/UPC-16-16-16	шт		15456.6	16620	в наличии					
599105		Кросс оптический Neolan 1U-LC/UPC-24-24-24	шт		18916.2	20340	в наличии					
499305		Кросс оптический Neolan 1U-LC/UPC-32-32-32	шт		22887.300000000003	24610	в наличии					
603385		Кросс оптический Neolan 1U-LC/UPC-36-36-36	шт		24617.100000000002	26470	в наличии					
596804		Кросс оптический Neolan 1U-LC/UPC-48-48-48	шт		29806.5	32050	в наличии					
596876		Кросс оптический Neolan 2U-LC/UPC-48-48-48	шт		32112.9	34530	в наличии					
												
		ЛИНЕЙКА PRO, цвет - черный										
603845		Кросс оптический Neolan Pro 1U-LC/UPC-4-4-4 (RAL 9005)	шт		11755.2	12640	в наличии					
602843		Кросс оптический Neolan Pro 1U-LC/UPC-8-8-8 (RAL 9005)	шт		13950	15000	в наличии					
608451		Кросс оптический Neolan Pro 1U-LC/UPC-12-12-12 (RAL 9005)	шт		16144.800000000001	17360	в наличии					
603984		Кросс оптический Neolan Pro 1U-LC/UPC-16-16-16 (RAL 9005)	шт		18339.600000000002	19720	в наличии					
602851		Кросс оптический Neolan Pro 1U-LC/UPC-24-24-24 (RAL 9005)	шт		22729.2	24440	в наличии					
608512		Кросс оптический Neolan Pro 1U-LC/UPC-32-32-32 (RAL 9005)	шт		27630.300000000003	29710	в наличии					
608517		Кросс оптический Neolan Pro 1U-LC/UPC-36-36-36 (RAL 9005)	шт		29825.100000000002	32070	в наличии					
606983		Кросс оптический Neolan Pro 1U-LC/UPC-48-48-48 (RAL 9005)	шт		36409.5	39150	в наличии					
601851		Кросс оптический Neolan Pro 2U-LC/UPC-48-48-48 (RAL 9005)	шт		38195.1	41070	в наличии					
		Кросс оптический Neolan Pro 2U-LC/UPC-64-64-64 (RAL 9005)	шт		47485.8	51060	в наличии					
		Кросс оптический Neolan Pro 2U-LC/UPC-96-96-96 (RAL 9005)	шт		65555.7	70490	в наличии					
												
231401		Заглушка SC										
												
												
												
												
												
												
												
												
