Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ ШНУРЫ	Unnamed: 8	Unnamed: 9
									
									
									
									
									
									
									
Артикул		Оптические пигтейлы			Цена сайт				
									
200650     		Патчкорд FTTH-SC/APC-15м	шт		2604	2800	под заказ		
200651     		Патчкорд FTTH-SC/APC-20м	шт		2883	3100	под заказ		
599404     		Патчкорд FTTH-SC/APC-25м	шт		3050.4	3280	под заказ		
200652     		Патчкорд FTTH-SC/APC-30м	шт		3162	3400	под заказ		
		Патчкорд FTTH-SC/APC-35м	шт		3282.9	3530	под заказ		
		Патчкорд FTTH-SC/APC-40м	шт		3524.7000000000003	3790	под заказ		
200670     		Патчкорд FTTH-SC/APC-45м	шт		3645.6000000000004	3920	под заказ		
		Патчкорд FTTH-SC/APC-50м	шт		3766.5	4050	под заказ		
		Патчкорд FTTH-SC/APC-55м	шт		3887.4	4180	под заказ		
		Патчкорд FTTH-SC/APC-60м	шт		4157.1	4470	под заказ		
		Патчкорд FTTH-SC/APC-65м	шт		4278	4600	под заказ		
		Патчкорд FTTH-SC/APC-70м	шт		4408.2	4740	под заказ		
		Патчкорд FTTH-SC/APC-75м	шт		4538.400000000001	4880	под заказ		
		Патчкорд FTTH-SC/APC-80м	шт		4817.400000000001	5180	под заказ		
		Патчкорд FTTH-SC/APC-85м	шт		4947.6	5320	под заказ		
		Патчкорд FTTH-SC/APC-90м	шт		6984.3	7510	под заказ		
		Патчкорд FTTH-SC/APC-95м	шт		7123.8	7660	под заказ		
		Патчкорд FTTH-SC/APC-100м	шт		7263.3	7810	под заказ		
		Патчкорд FTTH-SC/APC-200м	шт		10044	10800	под заказ		
									
		Патчкорд FTTH-SC/APC-SC/UPC-3м	шт		2250.6	2420	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-5м	шт		2287.8	2460	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-10м	шт		2399.4	2580	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-15м	шт		2604	2800	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-20м	шт		2883	3100	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-25м	шт		3050.4	3280	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-30м	шт		3162	3400	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-35м	шт		3282.9	3530	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-40м	шт		3524.7000000000003	3790	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-45м	шт		3645.6000000000004	3920	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-50м	шт		3766.5	4050	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-60м	шт		4157.1	4470	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-70м	шт		4408.2	4740	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-80м	шт		4817.400000000001	5180	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-90м	шт		6984.3	7510	под заказ		
		Патчкорд FTTH-SC/APC-SC/UPC-100м	шт		7263.3	7810	под заказ		
					0				
Артикул		Патчкорд абонентский самонесущий диэлектрический FTTHD (				Цена сайт			
									
		Патчкорд FTTHD-FRP1,0-SC/APC-30м	шт		5012.7	5390	10		
		Патчкорд FTTHD-FRP1,0-SC/APC-40м	шт		5152.2	5540	2		
		Патчкорд FTTHD-FRP1,0-SC/APC-50м	шт		5431.200000000001	5840	1		
		Патчкорд FTTHD-FRP1,0-SC/APC-60м	шт		5710.200000000001	6140	220		
		Патчкорд FTTHD-FRP1,0-SC/APC-70м	шт		5989.200000000001	6440	39		
		Патчкорд FTTHD-FRP1,0-SC/APC-80м	шт		6268.200000000001	6740	150		
		Патчкорд FTTHD-FRP1,0-SC/APC-90м	шт		8872.2	9540	под заказ		
		Патчкорд FTTHD-FRP1,0-SC/APC-100м	шт		9179.1	9870	под заказ		
		Патчкорд FTTHD-FRP1,0-SC/APC-110м	шт		9495.300000000001	10210	под заказ		
		Патчкорд FTTHD-FRP1,0-SC/APC-120м	шт		8723.4	9380	35		
		Патчкорд FTTHD-FRP1,0-SC/APC-130м	шт		9002.4	9680	40		
		Патчкорд FTTHD-FRP1,0-SC/APC-140м	шт		10434.6	11220	под заказ		
		Патчкорд FTTHD-FRP1,0-SC/APC-150м	шт		9960.300000000001	10710	5		
		Патчкорд FTTHD-FRP1,0-SC/APC-160м	шт		11067	11900	под заказ		
		Патчкорд FTTHD-FRP1,0-SC/APC-170м	шт		11383.2	12240	2		
		Патчкорд FTTHD-FRP1,0-SC/APC-180м	шт		11690.1	12570	под заказ		
		Патчкорд FTTHD-FRP1,0-SC/APC-190м	шт		12452.7	13390	под заказ		
