Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЙ КАБЕЛЬ	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12
												
												
												
												
												
												
												
Артикул		Кабель оптический абонентский FTTH 			Цена сайт	Цена сайт						
												
499224		Зажим анкерный РА-05	шт		837	900	в наличии					
		Зажим поддерживающий ЗП-8-2	шт		297.6	320	в наличии					
		! Весь список по подвесной арматуре вы можете найти во вкладке АРМАТУРА ДЛЯ ПОДВЕСА ОК										
												
												
Артикул		Кабель подвесной в тип 8  КС-ОКТО (одномодульный)										
		длина пролета до 80 метров				Цена сайт						
598700		Кабель КС-ОКТО-12-G.652.D-CF-3210	км		297135	319500	2550м					
551311		Кабель КС-ОКТО-4-G.652.D-3212	км		310899	334300	в наличии					
499757		Кабель КС-ОКТО-8-G.652.D-3212	км		338427	363900	в наличии					
596875		Кабель КС-ОКТО-12-G.652.D-3212	км		385392	414400	в наличии					
630774		Кабель КС-ОКТО-16-G.652.D-3212	км		433380	466000	в наличии					
123932		Кабель КС-ОКТО-24-G.652.D-3212	км		482391	518700	в наличии					
												
												
Артикул		Кабель подвесной в тип 8  КС-ОКТ (многомодульный)										
		длина пролета до 70 метров										
631088		Кабель КС-ОКТ-П-4-G.652.D-3049	км		342705	368500	в наличии					
131218		Кабель КС-ОКТ-П-8-G.652.D-3049а	км		375627	403900	в наличии					
377445		Кабель КС-ОКТ-П-12-G.652.D-3049а	км		421383	453100	в наличии					
691874		Кабель КС-ОКТ-П-16-G.652.D-3049a	км		450678	484600	в наличии					
903044		Кабель КС-ОКТ-П-24-G.652.D-3049а	км		517452	556400	в наличии					
630254		Кабель КС-ОКТ-П-48-G.652.D-3049	км		719076	773200	в наличии					
*  в конструкции 3047 по 8 волокон в модуле												
** (а) в маркирове означает - по 4 волокна в млдуле 												
												
		длина пролета до 120 метров				Цена сайт						
906099		Кабель КС-ОКТ-П-8-G.652.D-3047	км		389205	418500	в наличии					
499166		Кабель КС-ОКТ-П-16-G.652.D-3047	км									
596910		Кабель КС-ОКТ-П-24-G.652.D-3047	км		564789	607300	в наличии					
499747		Кабель КС-ОКТ-П-32-G.652.D-3047	км		638817	686900	в наличии					
499743		Кабель КС-ОКТ-П-48-G.652.D-3047	км									
*  в конструкции 3047 по 8 волокон в модуле												
												
												
		Зажимы для крепления кабеля с тросом (тип 8)										
499224		Зажим анкерный РА-05	шт		837	900	в наличии					
499129		Зажим анкерный РА-08	шт		1143.9	1230	в наличии					
695609		Зажим анкерный РА-69	шт		911.4000000000001	980	в наличии					
790347		Зажим поддерживающий ЗП-8-2	шт		297.6	320	в наличии					
		! Весь список по подвесной арматуре вы можете найти во вкладке АРМАТУРА ДЛЯ ПОДВЕСА ОК										
												
												
		Кабель диэлектрический самонесущий, для прокладки в трубах КС-ОКП 										
												
		Кабель ОКПО - одномодульный, на 1,5 кН										
629487		Кабель КС-ОКПО-П-2-652D-6210	км		166749	179300	в наличии					
412986		Кабель КС-ОКПО-П-4-652D-6210	км		180513	194100	в наличии					
543277		Кабель КС-ОКПО-П-8-652D-6210	км		202089	217300	в наличии					
090014		Кабель КС-ОКПО-П-12-652D-6210	км		232965	250500						
357123		Кабель КС-ОКПО-П-16-652D-6210	км		249984	268800	в наличии					
621329		Кабель КС-ОКПО-П-24-652D-6210	км		315735	339500						
												
110094		Кабель КС-ОКП-П-2-G.652.D-6307	км		279186	300200	в наличии					
000284		Кабель КС-ОКП-П-4-G.652.D-6307	км		284208	305600	в наличии					
599401		Кабель КС-ОКП-П-8-G.652.D-6307	км		309690	333000	в наличии					
478749		Кабель КС-ОКП-П-8-G.652.D-6307а	км		331638	356600	в наличии					
323003		Кабель КС-ОКП-П-12-G.652.D-6307а	км		354516	381200	в наличии					
599403		Кабель КС-ОКП-П-16-G.652.D-6307	км		409107	439900	в наличии					
499672		Кабель КС-ОКП-П-24-G.652.D-6307	км		438495	471500	в наличии					
323700		Кабель КС-ОКП-П-32-G.652.D-6307	км		488064	524800	в наличии					
499674		Кабель КС-ОКП-П-48-G.652.D-6307	км		664578	714600	в наличии					
												
920374		Кабель КС-ОКП-П-8-G.652.D-7.0-6330а	км		423057	454900	в наличии					
634596		Кабель КС-ОКП-П-16-G.652.D-7.0-6330а	км				в наличии					
*  в конструкции 6307 по 8 волокон в модуле												
** (а) в маркирове означает - по 4 волокна в млдуле 												
												
499673		Кабель ADSS-A-2-G.652.D-4,0	км		195393	210100						
499675		Кабель ADSS-A-8-G.652.D-4,0	км		211854	227800	в наличии					
499676		Кабель ADSS-A-16-G.652.D-4,0	км		256401	275700	в наличии					
499677		Кабель ADSS-A-24-G.652.D-4,0	км		319362	343400	в наличии					
* в конструкции по 4 волокна в модуле												
												
		Зажимы для крепления самонесущего кабеля (ADSS)										
798065		Зажим анкерный РА-1500 (8-12 мм)	шт		1627.5	1750	в наличии					
879994		Зажим анкерный РА-500 (4-9 мм)	шт		911.4000000000001	980	в наличии					
230120		Зажим натяжной универсальный 5-22мм (2х4-2х25)	шт		678.9000000000001	730	в наличии					
599738		Зажим поддерживающий НС-8-12	шт		725.4000000000001	780	в наличии					
599269		Зажим поддерживающий НС-10-15	шт		725.4000000000001	780	в наличии					
		! Весь список по подвесной арматуре вы можете найти во вкладке АРМАТУРА ДЛЯ ПОДВЕСА ОК										
												
												
		Кабель с ленточной броней для кабельной каналицации КС-ОКЛО (одномодульный) 										
												
306590		Кабель КС-ОКЛО-8-G.652.D-2205	км		313689	337300	в наличии					
720662		Кабель КС-ОКЛО-12-G.652.D-2205	км		351633	378100	в наличии					
499736		Кабель КС-ОКЛО-16-G.652.D-2205	км		379719	408300	в наличии					
499739		Кабель КС-ОКЛО-24-G.652.D-2205	км		429195	461500	в наличии					
												
100194		Кабель КС-ОКЛО-2-G.652.D-2207	км		288951	310700	в наличии					
499731		Кабель КС-ОКЛО-4-G.652.D-2207	км		300855	323500	в наличии					
596939		Кабель КС-ОКЛО-8-G.652.D-2207	км		321501	345700	в наличии					
596941		Кабель КС-ОКЛО-12-G.652.D-2207	км		364653	392100	в наличии					
596942		Кабель КС-ОКЛО-16-G.652.D-2207	км		390042	419400	в наличии					
962308		Кабель КС-ОКЛО-24-G.652.D-2207	км		421011	452700	в наличии					
												
												
		Кабель с ленточной броней для кабельной каналицации КС-ОКЛ (многомодульный) 										
												
695887		Кабель КС-ОКЛ-4-G.652.D-2041	км		228780	246000	в наличии					
100765		Кабель КС-ОКЛ-8-G.652.D-2041	км		358794	385800	в наличии					
499696		Кабель КС-ОКЛ-12-G.652.D-2036	км		402876	433200	245, 235, 723м					
995887		Кабель КС-ОКЛ-12-G.652.D-2041	км		402876	433200	в наличии					
568721		Кабель КС-ОКЛ-16-G.652.D-2041	км		411246	442200	в наличии					
