URL	Артикул	Описание	KZ РРЦ	KZ Дилер	Status
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/qbic-ac-112/	AC-112B	Qbic AC-112, Подставка для TD-1050 PRO/TD-1060 Slim, черный	85250.0	72462.5	
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/qbic-ac-112W/	AC-112W	Qbic AC-112W, Подставка для TD-1050 PRO/TD-1060 Slim/TD-1070, серебристая	85250.0	72462.5	
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/ac-120/	AC-120	Qbic AC-120, Врезное крепление для скрытой установки TD-1050 PRO	412500.0	350625.0	EOL
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/ac-121/	AC-121	Qbic AC-121, Врезное крепление для скрытой установки TD-1070	326700.0	277695.0	Под заказ
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/ac-210.ex/	AC-210.Ex	Qbic AC-210.Ex, хаб RS-232 для подключения 10 сенсоров/индикаторов занятости	167750.0	142587.5	Под заказ
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/as-211/	AC-211	Qbic AC-211, Датчик занятости помещения	118250.0	100512.5	
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/Qbic_AC_212/	AC-212	Qbic AC-212, Индикаторная лампа светодиодная	134750.0	114537.5	Под заказ
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/ac-500/	AC-500	Qbic AC-500, Модуль GPIO реле/сухие контакты для TD-1050/TD-1060/TD-0350 в защитном корпусе			
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/qbic-ac-610/	AC-610	Qbic AC-610, Датчик занятости рабочего места для TD-0350	90750.0	77137.5	
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/qbic-ac-620/	AC-620	Qbic AC-620, POE-адаптер для TD-0350, RJ45, USBx2	90750.0	77137.5	
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/qbic-cb-110/	CB-110	Qbic CB-110, Кабель USB на micro USB L-типа, 3 м для TD-0350	13200.0	11220.0	
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/ms-1070/	MS-1070	Qbic MS-1070, настольная подставка TD-1070 с органайзером проводов	99000.0	84150.0	NEW
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/ms-2000/	MS-2000	Qbic MS-2000, монтажное крепление/органайзер для установки TD-1060/TD-1070 на стекло/керамику	181500.0	154275.0	Под заказ
	AT-102/AC-00Q	Адаптер питания USB 5В, 2А для TD-0350			
https://ipmatika.kz/products/aksessuary-dlya-panelnykh-kompyuterov/AT-105_AC-00M/	AT-105/AC-00M	Адаптер питания импульсный 12В,1,5А для TD-1050 PRO, TD-1060 Slim	13770.0	11704.5	Под заказ
	BDG-100	BDG-100 - Адаптер BLE для подключения E-ink дисплеев	74250.0	63112.5	Под заказ
