Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
										
										
										
										
										
										
										
										
			545	0.0	545					
										
		Наименование товаров	Розница		Розница	Дилер				
		Краткое описание характеристик	KZT		USD	USD				
		01. Радиостанции гражданского диапазона 27МГц(СВ)								
		1.1 Автомобильные и базовые радиостанции диапазона 27МГц								
21.0		AnyTone AT-5289N р/ст авто, 27МГц 4/10/50Вт 25-30МГц EU+RU, CTCSS/DCS  гарантия 1 год	71313.25		130.85	109.04				
22.0		AnyTone AT-5555 р/ст авто, 25.615...30.105 МГц, AM/FM/SSB, 12 Вт AM, 50 Вт FM  гарантия 1 год	109479.6		200.88000000000002	171				
1421110723.0		President Bill II ASQ р/ст авто, 27МГц, 4 Вт, АМ/ЧМ, VOX  гарантия 1 год	71525.8		131.24	109.37	.			
851250725.0		AnyTone AT-5289 II р/ст авто, 27МГц, 50 Вт, АМ/ЧМ, VOX, CTCSS/DCS, автоинформатор, гарантия 1 год	72512.25		133.05	110.87				
23.0		AnyTone AT-6666 р/ст авто, 25.615...30.105 МГц, AM/FM/SSB, 12 Вт AM, 50 Вт FM гарантия 1 год	131147.4375		240.63750000000002	196.64999999999998				
1108260319.0		AnyTone AT-5555N р/ст авто, 25.615...30.105 МГц, AM/FM/SSB, 12 Вт AM, 30 Вт FM, CTCSS/DCS  гарантия 1 год	136250		250	200				
24.0		1.2 Портативные радиостанции диапазона 27МГц								
1403110724.0		President Jerry радиостанция носимая 27МГц 40 каналов ЧМ/АМ 5Вт EU+RU  LiIOn 1800мАч Гарантия 1 год	93456.59999999999		171.48	149.11				
25.0		AnyTone ST-118 радиостанция носимая 27МГц 16 каналов ЧМ 5Вт EU+RU  Гарантия 2 года!	60467.205	47513.91749999999	110.949	87.18149999999999				
26.0		Intek H-520Plus радиостанция носимая 27МГц 400+400 каналов EU+RU с автоадаптером  гарантия 12 мес	62064.6	51720.5	113.88	94.9				
27.0		02. Радиостанции УКВ диапазона 								
28.0		2.1. Радиостанции портативные аналоговые								
29.0		Р/ст  Climbmax ЕМ-9703 FRS, 14 каналов, 1Вт (пара), зарядное устройство, без аккумуляторов	6812.5	6812.5	12.5	12.5				
30.0		Р/ст Luiton LT-316, 400-470МГц, 3Вт, Li-Ion 1500мАч, зарядное устройство (продажа только парами!)	13352.5	9946.25	24.5	18.25				
1024301225.0		Р/ст StarNet S-100 400-480МГц, 3Вт, Li-Ion 1200 мАч, две кнопки РТТ, зарядное устройство, гарантия 6 мес	11494.05		21.09	15.63				
1728090920.0		Р/ст Luiton LT-316, 400-470МГц, 3Вт, Li-Ion 1500мАч, зарядное устройство, гарантия 1 год	9613.800000000001		17.64	13.14				
1705090920.0		Р/ст Baofeng BF-888s 400-470МГц (комплект 2 шт), 2Вт, Li-Ion 1500 мАч, зарядное устройство, гарантия 1 месяц	18170.300000000003		33.34	26.34				
32.0		Р/ст Puxing PX-2R  400-470МГц, 2Вт, Li-Ion, 1100мАч, зарядное устройство, гарнитура, гарантия 1 мес	18121.25		33.25	26.25				
33.0		Р/ст AnyTone AT-518 400-480МГц, 3Вт, Li-Ion 2000мАч, зарядное устройство 	25887.5		47.5	37.5				
31.0		Р/ст Тушкан, 403-470МГц, 2Вт, Li-Ion 1400мАч, зарядное устройство, гарантия 12 мес	17390.95		31.91	27.28				
1142080422.0		Р/ст StarNet S-200 400-470МГц 5Вт, Li-Ion 2000мАч, зарядное устройство, гарантия 6 месяцев	19216.7		35.26	29.38				
1455080923.0		Р/ст Quansheng UV-K5 136-174/400-480МГц, 50-600МГц прием, li-Ion 1600 мАч, зарядное устройство Type-C, гарантия 1 мес	19254.85		35.33	29.44				
1456080923.0		Р/ст Quansheng UV-K5(8) 136-174/400-480МГц, 50-600МГц прием, li-Ion 1600 мАч, зарядное устройство, Type-C, улучшенный динамик, гарантия 1 мес	20562.85		37.73	31.44				
34.0		Р/ст Baofeng UV-5R 136-174/400-480МГц, 5Вт, Li-Ion 1800мАч, зарядное устройство, гарантия 1 месяц	19254.85		35.33	29.44				
1727090920.0		Р/ст Baofeng UV-82 136-174/400-520МГц, 5Вт, Li-Ion 2800мАч, зарядное устройство, гарантия 1 месяц	21380.35		39.23	32.69				
