Наименование товаров	Розница			
Краткое описание характеристик	KZT			
01. Радиостанции гражданского диапазона 27МГц(СВ)				
Держатель штыря СВ2307/СВ2312	2 180			
AX-1800 OFFSET MIMO 2x2 офсетный облучатель 4G (LTE1800)	14 851			
AX-1800 OFFSET 75 MIMO 2x2 офсетный облучатель 4G (LTE1800)	14 851			
4.8. Кабельные сборки				
Питгейл SMA(f) - CRC9 угловой	3 581			
Питгейл SMA(f) - TS9 угловой	3 581			
AC-5830 кабельная сборка 50 Ом PL259-PL259 30 см	3 924			
AC-5890 кабельная сборка 50 Ом PL259-PL259 90 см	4 415			
Кабельная сборка 50 Ом N-male/RG-58 2м/SMA-male 	5 216			
Кабельная сборка 50 Ом N-male/RG-58 5м/SMA-male 	6 998			
Кабельная сборка 50 Ом N-male/RG-58 7м/SMA-male 	8 398			
Кабельная сборка 50 Ом N-male/RG-58 10м/SMA-male 	10 033			
QX -007B кабельная сборка 50 Ом, 5м, с разъемами N-типа	17 331			
05. GSM, 3G, CDMA-репитеры, телефоны, шлюзы, рации				
5.1. Репитеры, усилители сотового сигнала				
AnyTone AT-400 Репитер GSM900 покрытие до 80 кв.м	60 619			
AnyTone AT-408 Репитер GSM900 автомобильный	68 696			
ClearCast CU-30 Репитер 3G автомобильный	78 846			
ClearCast MD-45 Репитер DCS/LTE/4G покрытие до 150 кв.м	85 609			
AnyTone AT-600 Репитер GSM900 покрытие до 300 кв.м	111 134			
AnyTone AT-4000D Репитер DCS/LTE/4G покрытие до 100 кв.м	136 385			
AnyTone AT-608 Репитер GSM900 покрытие до 600 кв.м	126 287			
ClearCast SGD-5055 Репитер GSM900/1800 покрытие до 500 кв.м.	162 977			
ClearCast SGU-5055 Репитер GSM900+3G покрытие до 500 кв.м.	162 977			
AnyTone AT-6000W Репитер 3G покрытие до 300 кв.м	161 643			
AnyTone AT-6000D Репитер DCS/4G/LTE покрытие до 400 кв.м.	230 535			
AnyTone AT-800 Репитер GSM900 покрытие до 1200 кв.м	249 288			
AnyTone AT-4100GW Репитер GSM900+3G покрытие до 100 кв. м	202 060			
AnyTone AT-4100GD Репитер GSM900/1800 покрытие до 100 кв. м	222 262			
AnyTone AT-6000GW Репитер GSM900+3G покрытие до 300 кв. м	247 926			
AnyTone AT-6100GW Репитер GSM900+3G покрытие до 500 кв. м	353 598			
AnyTone AT-6200GW Репитер GSM900+3G покрытие до 800 кв. м	383 898			
5.2. Стационарные телефоны, GSM-шлюзы, 3G/4G роутеры				
Termit FixPhone V2 rev.3.1.0 стационарный телефон GSM900/1800	32 667			
StarNet 4G-CPE 3G/4G Wi-Fi роутер, гарантия 1 год	25 582			
StarNet 4G-2346 Комплект для 3G/4G интернета (StarNet 4G-CPE + BAS-2346) 	43 949			
StarNet 4G-2013 Комплект для 3G/4G интернета (StarNet 4G-CPE + BAS-2013)	39 098			
Termit FixPhone LTE LiTE стационарный GSM телефон с WiFi роутером, гарантия 1 год	66 604			
5.3. GSM интернет-рации				
Kirisun T60 GSM/3G/WIFI портативная рация, акк. 5200мАч, включена подписка на сервис 6 мес, гарантия 1 год	125 023			
Kirisun M50 GSM/3G/WIFI мобильная рация, включена подписка на сервис 6 мес, гарантия 1 год	176 357			
Рабочее место диспетчера через WEB, включена подписка на сервис 6 мес	19 544			
Рабочее место для мобильного телефона (IOS или Android), включена  подписка на сервис 6 мес	19 544			
Подписка на сервис 6 месяцев, 1 устройство (рация/диспетчер/приложение)	11 728			
Подписка на сервис 12 месяцев, 1 устройство  (рация/диспетчер/приложение)	19 544			
5.4. GSM-маяки				
SinoTrack ST-901 GPS-трекер скрытой установки, гарантия 1 месяц	19 037			
SinoTrack ST-902 GPS-трекер (OBDII интерфейс), гарантия 1 месяц	20 138			
SinoTrack ST-907 GPS-трекер (реле) скрытой установки, гарантия 1 месяц	21 751			
SinoTrack ST-909 GPS-трекер (зарядное устройство 2xUSB 5V 2A, в прикуриватель), гарантия 1 месяц	25 511			
06. Мачты и кронштейны				
6.1. Стальные телескопические мачты				
M30D2 Мачта составная, высота 3 м, вес 2,7 кг,  длина колен 1500 мм, проволока для растяжек, на плоскую поверхность	26 999			
M60D4 Мачта составная, высота 6 м, вес 4.7 кг, длина колен 1500 мм, проволока для растяжек, на плоскую поверхность	44 843			
МТП - 4 Мачта телескопическая RadioТехник высота 3,86 м, вес 5,09 кг, Стальные трубы Ø 32 и 40 мм; длина колен 1980 мм, толщина стенок 1,5 мм, такелаж, на плоскую поверхность	62 266			
МТП - 6С Мачта телескопическая RadioТехник, высота 5,71 м, вес 8,20 кг, Стальные трубы Ø 32, 40 и 45мм; длина колен 1980 мм, толщина стенок 1,5 мм, кронштейны, крепление на стену	77 897			
МТП - 6 Мачта телескопическая RadioТехник, высота 5,71 м, вес 8,20 кг, Стальные трубы Ø 32, 40 и 45мм; длина колен 1980 мм, толщина стенок 1,5 мм, такелаж, на плоскую поверхность	67 733			
МТП - 8 Мачта телескопическая RadioТехник  высота 7,56 м, вес 11,90 кг, Стальные трубы Ø 32, 40, 45 и 51мм; длина колен 1980 мм, толщина стенок 1,5 мм, такелаж, на плоскую поверхность	100 335			
МТП - 10 Мачта телескопическая RadioТехник  высота 9,41 м, вес 16,03 кг, Стальные трубы Ø 32, 40, 45, 51 и 57мм; длина колен 1980 мм, толщина стенок 1,5 мм, такелаж, на плоскую поверхность	151 766			
МТП - 12  Мачта телескопическая RadioТехник  высота 11,26 м, вес 20,56 кг,   Стальные трубы Ø 32, 40, 45, 51, 57 и 63мм; длина колен 1980 мм, толщина стенок 1,5 мм, такелаж, на плоскую поверхность	217 958			
МТП - 14  Мачта телескопическая RadioТехник  высота длина рабочая 13,11 м, вес 25,61 кг Стальные трубы Ø 32, 40, 45, 51, 57, 63 и 70мм; длина колен 1980 мм, толщина стенок 1,5 мм, такелаж, на плоскую поверхность	251 458			
МТП - 16У  Мачта телескопическая усиленная RadioТехник  высота длина рабочая 14,96 м, вес 30,91 кг Стальные трубы Ø 32, 40, 45, 51, 57, 63, 70 и 76 мм; длина колен 1980 мм, толщина стенок 1,5 мм, такелаж, на плоскую поверхность	356 134			
6.2. Алюминиевые мачты				
МА - 4 Мачта составная алюминиевая RadioТехник высота 4 м, вес 3,5 кг, трубы Ø 50 мм; длина колена 2 м, толщина стенок 2 мм, такелаж, на плоскую поверхность	87 132			
МА - 6 Мачта составная алюминиевая RadioТехник, высота 6 м, вес 4,6 кг,  трубы Ø 50 мм; длина колена 2 м, толщина стенок 2 мм, такелаж, на плоскую поверхность	117 377			
МА - 8 Мачта составная алюминиевая RadioТехник, высота 8 м, вес 6,7 кг, трубы Ø 50 мм; длина колен 2 м, толщина стенок 2 мм, такелаж, на плоскую поверхность	165 459			
МА - 10 Мачта составная алюминиевая RadioТехник  высота 10 м, вес 8,50 кг, трубы Ø 50мм; длина колена2 м, толщина стенок 2 мм, такелаж, на плоскую поверхность	211 102			
МТЛ-12 Мачта телескопическая алюминиевая RadioТехник, высота 12 метров, вес 10.1 кг, длина колен 2 м, такелаж, на плоскую поверхность	369 303			
6.3. Кронштейны				
Кронштейн стеновой для крепления антенн KS-120 (12 см)	4 197			
Кронштейн стеновой для крепления антенн KS-240 (24 см)	4 894			
Кронштейн стеновой S-образный, 0,5 м СК-S-0,5	6 583			
Кронштейн стеновой для крепления мачты М- образный КС-ММ-035	7 707			
Вилка для установки двух антенн на одну мачту	11 772			
07. Аксессуары				
7.1. Гарнитуры, микрофоны				
Гарнитура EARPHONIC ER01DP28SB13_K (мининаушник) для носимых раций с интерфейсом 2-PIN (K1)	4 649			
Гарнитура EARPHONIC ER01DP28SB1_K (Г-заушина) для носимых раций с интерфейсом 2-PIN (K1)	4 981			
Гарнитура EARPHONIC ER02DP28SB6_K (скрытоносимая) для носимых раций с интерфейсом 2-PIN (K1)	4 981			
Гарнитура EARPHONIC ER02DP02SB6_K (ларингофон) для носимых раций с интерфейсом 2-PIN (K1)	4 981			
Гарнитура EARPHONIC ER03DPLB16_K (наушник) для носимых раций с интерфейсом 2-PIN (K1)	8 791			
Гарнитура ларингофонная регулируемая с выносной кнопкой TP15-P23K1 с интерфейсом Тип К1	15 211			
Гарнитура скрытого ношения трубочная АС-002 для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	10 900			
Гарнитура скрытого ношения трубочная EAR-4 для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	10 900			
Гарнитура скрытого ношения трубочная ACH-4040 для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	10 900			
Гарнитура скрытого ношения трубочная с выносной кнопкой EP31-P23K1  с интерфейсом Тип К1	10 840			
Гарнитура скрытого ношения KME-032 для POC раций Kirisun T60/T65 (для моделей с 1хSIM)	13 402			
Гарнитура скрытого ношения KME-K5CAT-B  для POC раций Kirisun T60/T65 (для моделей с 2хSIM)	14 742			
Гарнитура универсальная с увеличенным динамиком ECH-3070 для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	9 538			
Гарнитура KME-026 для POC раций Kirisun T60/T65 (для моделей с 1xSIM)	8 704			
Гарнитура KME-K5CCT-E для POC раций Kirisun T60/T65 (для моделей с 2xSIM)	10 153			
Гарнитура скрытого ношения трубочная EP68-P12K1 с интерфейсом Тип К1	7 586			
Гарнитура универсальная с выносной кнопкой ECH-1040 для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	7 156			
Гарнитура универсальная с выносной кнопкой BCL-2010 для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	6 268			
Гарнитура универсальная EAR-628 с выносной кнопкой для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	5 723			
Гарнитура универсальная ER01 с выносной кнопкой для радиостанций StarNet S-400	5 799			
Гарнитура скрытого ношения ER03 для радиостанции StarNet S-400	6 524			
Гарнитура универсальная с выносной кнопкой EAR-6 для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	5 995			
Гарнитура универсальная EE-004 с удлиненным микрофоном для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	5 886			
Гарнитура M4 с выносной кнопкой для р/с Quesum MD10/MD100	4 633			
Гарнитура универсальная FH-003 для Baofeng UV-5R/EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680/LT-316	2 671			
Гарнитура выносная QHM-22  для радиостанций EM9735/AT628G/AT288/AT289/AT-3308/НУКЕР/PX-359/AT-518P/AT-3318UV/PT-260/TG-1680	11 445			
Держатель тангенты для автомобильной радиостанции Yosan/Anytone	818			
Гарнитура для радиостанции Puxing PX-2R	6 540			
Гарнитура для Yosan JC-200/JC-300/СВ-50	12 099			
Гарнитура для Yosan JC-650 6-pin	13 080			
Гарнитура для Yosan JC-600Plus 8-pin	13 080			
Гарнитура для радиостанции Luiton LT-298	13 080			
Гарнитура для AnyTone AT-5289	13 080			
Гарнитура для Yosan Trucker/Excalibur	14 715			
Гарнитура для Leixen UV-25HX c DTMF клавиатурой	15 325			
Гарнитура для AnyTone AT-888	15 483			
Гарнитура для AnyTone AT-5189	17 985			
Гарнитура для AnyTone AT-588/Luiton LT-590 c DTMF клавиатурой	18 830			
Гарнитура для Luiton LT-590 c DTMF клавиатурой	19 620			
Гарнитура для AnyTone AT-588UV/AT-778UV c DTMF клавиатурой	20 318			
Микрофон настольный QHM-10 для р/с AnyTone AT-5189/AT-588	23 544			
7.2. Аккумуляторы				
Аккумуляторная батарея для ST-901 150мАч	3 270			
BC-S100 Аккумуляторная батарея 1200 мАч для StarNet S-100	3 870			
Аккумуляторная батарея 1500 мАч для Luiton LT-316	4 556			
BL-2R Аккумуляторная батарея li-ion 3.7В 1100 мАч для Puxing PX-2R	6 540			
DM-V1 Аккумуляторная батарея Li-Ion 3.7V 2000 мАч для Baofeng DM-V1	6 704			
BC-S200 Аккумуляторная батарея 7.4В 2000мАч для StarNet S-200	6 813			
BPK-5 Аккумуляторная батарея 7.2В 1600мАч для Quansheng UV-K5, UV-K5(8), UV-6	6 932			
BL-5 аккумуляторная батарея Li-Ion 1800мАч для р/с Baofeng UV-5R/UV-5R Pro	6 932			
CPS-11 адаптер для питания от прикуривателя р/с AnyTone AT288/AT289/AT289P/AT3318UV	9 810			
QB-27L аккумуляторная батарея Li-ion 1500 мАч для AT-628G	9 810			
QB-43L аккумуляторная батарея Li-ion 1300 мАч для AT-318, AT-318P, AT-318UV	10 464			
QB-50HL аккумулторная батарея Li-Ion 2600 мАч для V10	10 464			
QB-38L аккумуляторная батарея Li-ion 2000 мАч для AT-518	10 791			
QB-40L аккумуляторная батарея Li-ion 1350 мАч для AT-518 TURBO/AT-3208Plus	10 791			
PB-33L аккумуляторная батарея Li-ion 1600 мАч для PX-359	11 445			
QB-1500L аккумуляторная батарея Li-ion 1500 мАч для AT-288/289/289Р/3318	12 317			
Аккумуляторная батарея Li-Ion 2800 мАч для Luiton LT-199H	12 317			
BC-S400 Аккумуляторная батарея 7.4В 2800мАч для StarNet S-400	12 535			
QB-35L аккумуляторная батарея li-ion 2200 мАч для AT-298/AT-398UV	12 808			
Аккумуляторная батарея Li-Ion 3500 мАч для Quansheng TG-1680	13 107			
QB-44L аккумуляторная батарея Li-Ion 2100 мАч для AT-D858/868/868UV	14 170			
Аккумуляторная батарея Li-Ion 2600 мАч для Quesum MD10/MD100	14 323			
KB-W65B Аккумулятор 5200мАч  для р/с Kirisun T60/T65	16 241			
QB-44HL аккумуляторная батарея Li-Ion 3100 мАч для AT-D858/868/878UV	17 004			
7.3. Антенные согласователи-усилители				
KL60 RM антенный усилитель 35Вт 25-30МГц	24 253			
KL203 RM антенный усилитель 100Вт 18-30МГц	27 795			
KL203P RM антенный усилитель 100Вт 18-30МГц c предусилителем	31 964			
KL243 RM антенный усилитель 100Вт 42-47МГц	45 099			
LA144 RM антенный усилитель 70Вт 135-175МГц	72 213			
KL300 RM антенный усилитель150Вт 3-30МГц	79 161			
LA145 RM антенный усилитель 85Вт 135-175МГц	97 283			
KL400 RM антенный усилитель 200Вт 3-30МГц с предусилителем	102 596			
KL405 RM антенный усилитель 200Вт 1.8-30МГц с предусилителем	102 596			
KL503 RM антенный усилитель 300Вт 18-30МГц с предусилителем	106 820			
KL505 RM антенный усилитель 300Вт 3-30МГц с предусилителем	183 938			
KL800 RM антенный усилитель 600Вт 24-30МГц с предусилителем	290 621			
7.4. Источники питания				
Кабель питания зарядного устройcтва от прикуривателя PT260/EM9735/PX358/AT288/AT289/AT3318/AT3308	3 924			
MiWi S-15-5 импульсный блок питания 5V 3А гарантия 1 год	6 131			
MiWi S-35-5 импульсный блок питания 5V 7А гарантия 1 год	7 848			
MiWi S-60-5 импульсный блок питания 5V 12А гарантия 1 год	9 810			
MiWi S-60-12 импульсный блок питания 12V 5А гарантия 1 год	9 810			
MiWi D-60A импульсный блок питания двухканальный 5V/4.6А + 12V/5A гарантия 1 год	10 791			
MiWi S-120-12 импульсный блок питания 12V 10А гарантия 1 год	12 998			
MiWi D-120A импульсный блок питания двухканальный 5V/12А + 12V/5A гарантия 1 год	18 884			
MiWi S-201-12 импульсный блок питания 12V 16.5А гарантия 1 год	21 337			
MiWi S-250-12 импульсный блок питания 12V 20А гарантия 1 год	23 054			
MiWi S-350-12 импульсный блок питания 12V 29А гарантия 1 год	24 525			
MiWi SP-320-13.5 импульсный блок питания с PFC 13.5V 23А гарантия 1 год	37 115			
APS-1210 Блок питания импульсный 13.5V 10A гарантия 1 год	41 856			
RM-SPS1012 Блок питания 13.5V 10/12A гарантия 1 год	45 617			
APS-1220 Блок питания импульсный 13.5V 20A гарантия 1 год	62 321			
7.5. Преобразователи напряжения 24/12V				
RM RT5 Преобразователь напряжения 24/12В 5A Италия, гарантия 1 год	14 028			
RM RT10 Преобразователь напряжения 24В/12В 10A Италия, гарантия 1 год	19 555			
DC-15 Преобразователь напряжения 24/12В 15А Тайвань, гарантия 1 год	26 160			
RM RT16 Преобразователь напряжения 24V/12V 16A Италия, гарантия 1 год	38 052			
DC-20 Преобразователь напряжения 24/12В 20А Тайвань, гарантия 1 год	36 564			
DC-30 Преобразователь напряжения 24/12В 30А Тайвань, гарантия 1 год	49 704			
DC-40 Преобразователь напряжения 24/12В 40А Тайвань, гарантия 1 год	63 438			
RM-RT30SW Преобразователь напряжения 24/12В 35А Италия, гарантия 1 год	97 773			
7.6. Инверторы 12-220Вольт				
Кнопка удаленного управления питанием инверторов серии HP 600-3000Вт	9 183			
Инвертор HP-150USB 12-220 Вольт 150 (450) Ватт, гарантия 1 год	25 729			
Инвертор HP-300USB 12-220 Вольт 300 (900) Ватт, гарантия 1 год	33 261			
Инвертор HP-300USB 24-220 Вольт 300 (900) Ватт, гарантия 1 год	33 261			
Инвертор HP-600 12-220 Вольт 600 (1500) Ватт, гарантия 1 год	56 097			
Инвертор HP-600 24-220 Вольт 600 (1500) Ватт, гарантия 1 год	56 097			
Инвертор HP-1200 12-220 Вольт 1200 (2600) Ватт, гарантия 1 год	100 980			
Инвертор HP-2500 12-220 Вольт 2500 (5000) Ватт, гарантия 1 год	270 985			
Инвертор HP-2500 24-220 Вольт 2500 (5000) Ватт, гарантия 1 год	270 985			
Инвертор HP-3000 12-220 Вольт 3000 (6000) Ватт, гарантия 1 год	314 378			
Инвертор HP-3000 24-220 Вольт 3000 (6000) Ватт, гарантия 1 год	314 378			
7.7. Громкоговорители внешние				
ES-603 внешний громкоговоритель 5Вт 8Ом, кабель 1,8м	5 761			
ES-602 внешний громкоговоритель 3Вт 8Ом с регулятором громкости, кабель 1,8м	6 698			
ES-604 внешний громкоговоритель 7Вт 8Ом, увеличенный динамик, кабель 1,8м	6 562			
ES-606 внешний громкоговоритель 10Вт 8Ом, увеличенный динамик, функция шумоподавления, кабель 1,8м	7 903			
ES-608 внешний громкоговоритель 10Вт 8Ом, увеличенный динамик, кабель 1,8м	7 903			
7.8. Скобы для крепления антенн				
AC04CHEV Пластина для крепления антенны под широкий релинг	3 270			
AC04DODGE Пластина для крепления антенны под узкий релинг	3 270			
МТ3201 скоба для крепления антенны на багажник 	6 540			
AC504X Скоба для крепления антенны на зеркало или мачту	8 502			
TR606 Cкоба для крепления антенны на водосток	8 829			
KF Black Sirio Скоба для крепления антенны на водосток	9 538			
MT3301 Cкоба для крепления антенны на водосток поворотная	9 810			
MT3203 Cкоба для крепления антенны на багажник поворотная	9 810			
MT3202 Cкоба для крепления антенны на водосток поворотная	10 464			
7.9. Зарядные устройства				
Кабель питания зарядного устройcтва от прикуривателя PT260/EM9735/PX358/AT288/AT289/AT3318/AT3308	3 924			
Кабель питания зарядного устройства от прикуривателя 12/24V - 8.4V для р/с Baofeng	3 924			
Кабель CPL-03 для прямой зарядки AT-298/AT-398/AT398UV от прикуривателя	4 088			
Адаптер АС-USB для LUITON LT-316	2 316			
Зарядное устройство (стакан) для LUITON LT-316 (без АС адаптера)	3 205			
Зарядное устройство CH-5 для Baofeng UV-5R	8 175			
Зарядное устройство (стакан) для StarNet S-200	7 548			
Зарядное устройство (стакан( для StarNet S-400	9 810			
Зарядное устройство (стакан) для PT-260	9 810			
Зарядное устройство (стакан) для AT-518 3.7V	9 810			
Зарядное устройство (стакан) для AT-3208Plus, AT-518 TURBO 7.4V	9 810			
Зарядное устройство (стакан) для TG-1680	11 445			
Зарядное устройство (стакан) для LT-199H	11 445			
Зарядное устройство (стакан) для ЕМ-9735	11 445			
Зарядное устройство (стакан) для AT-288/289	11 445			
Зарядное устройство (стакан) для Kirisun T60. T65	12 862			
Групповое зарядное устройство на 6 аккумуляторов для Luiton LT-316	19 075			
Групповое зарядное устройство на 8 аккумуляторов LiIon QB-28L/KNB-29	33 518			
7.10. Зарядные устройства для автомобильных аккумуляторов				
Зарядное устройство ABC-1210D 12 Вольт 10 Ампер, автоматическое, до 100Ач, гарантия 1 год	45 540			
Зарядное устройство ABC-1220D 12 Вольт 20 Ампер, автоматическое, до 200Ач, гарантия 1 год	62 168			
7.11. Кабель коаксиальный				
Кабель коаксиальный Teleconn RG-6 65% 75 Ом	120			
Кабель коаксиальный Teleconn RG-58U 50 Ом	523			
Кабель коаксиальный Teleconn 5D-FB 50 Ом	1 036			
Кабель коаксиальный Teleconn RG-213U 50 Ом 	1 880			
Кабель коаксиальный Teleconn RG-214 50 Ом 	2 158			
Кабель коаксиальный Teleconn LMR-400 50 Ом 	1 597			
Кабель коаксиальный Teleconn 8D-FB 50 Ом	1 809			
7.12. Программаторы				
PC-1 USB кабель для программирования радиостанций AnyTone/Climbmax/Kirisan/Kenwood	14 715			
PC-2 USB кабель для программирования радиостанций HYT TC-320/AnyTone AT-5289	14 715			
PC-3 USB кабель для программирования радиостанций AnyTone AT-5189/ST-5189	17 985			
PC-4 USB кабель для программирования радиостанций AnyTone AT-5555	12 099			
USB кабель для программирования радиостанций Puxing PX-2R	12 099			
7.13. Измерительные приборы (КСВ метры, измерители мощности, частотомеры, анализаторы)				
ANTA-823 измеритель КСВ 25-30МГц 10Вт	11 772			
Эквивалент нагрузки DL-30A  0-500МГц 15Вт/100Вт	20 209			
Эквивалент нагрузки 0-3ГГЦ 25Вт N-типа	19 620			
LEIXEN N8 частотомер портативный 1-1000МГц, гарантия 1 месяц	26 978			
NISSEI RS-40 измеритель КСВ и мощности 140-150/430-450МГц  15/60/200Вт, гарантия 1 год	32 428			
NISSEI RS-27 измеритель КСВ и мощности 26-30МГц 10/100/1000Вт, гарантия 1 год	33 790			
NISSEI RX-103 измеритель КСВ и мощности 1.6-60МГц 20/200/2000Вт, гарантия 1 год	64 038			
NISSEI RX-203 измеритель КСВ и мощности 1.8-200МГц 2/20/200Вт, гарантия 1 год	64 583			
NISSEI RX-403 измеритель КСВ и мощности 125-525МГц 2/20/200Вт, гарантия 1 год	64 583			
NISSEI RX-503 измеритель КСВ и мощности 1.8-525МГц 2/20/200Вт, гарантия 1 год	91 833			
NISSEI DG-503 измеритель КСВ и мощности цифровой 1.8-525МГц 2/20/200Вт, гарантия 1 год	106 956			
NISSEI DG-503 MAX измеритель КСВ и мощности цифровой (аналоговые+DMR) 1.8-525МГц 2/20/200Вт, гарантия 1 год	126 435			
NISSEI NS-60A антенный анализатор 0.5-60МГц, гарантия 1 год	246 569			
NISSEI NS-520A антенный анализатор 133-177/195-280/395-520МГц, гарантия 1 год	282 272			
Чехол силиконовый для анализаторов RigExpert AA-650, AA-1500, AA-2000, AA-3000	12 535			
RigExpert AA-30.ZERO антенный анализатор 0.06-30МГц, гарантия 1 год	50 525			
RigExpert AA-35 ZOOM антенный анализатор 0.06-35МГц, гарантия 1 год	170 979			
RigExpert AA-55 ZOOM антенный анализатор 0.06-55МГц, гарантия 1 год	221 101			
RigExpert Stick Pro антенный анализатор 0.1-600МГц, гарантия 1 год	292 343			
RigExpert MATCH антенный анализатор 0.1-70МГц, гарантия 1 год	294 480			
RigExpert MATCH ADVANCED антенный анализатор 0.1-230МГц, гарантия 1 год	371 968			
Rigexpert AA-650 ZOOM антенный анализатор 0.1-650МГц, гарантия 1 год	527 195			
Rigexpert AA-1500 ZOOM антенный анализатор 0.1-1500МГц, гарантия 1 год	676 618			
RigExpert AA-2000 ZOOM антенный анализатор 0.1-2000МГц, гарантия 1 год	748 285			
7.14. Прочие				
Грозоразрядник 0-6ГГц 50Вт N/F-N/M 50Ом	18 312			
Грозоразрядник 0-6ГГц 50Вт UHF/F-UHF/M 50Ом	18 312			
Чехол для рации универсальный 	4 905			
Чехол кожаный для PX-359/EM-9735	3 815			
MIX27 антенный разветвитель (CB/автомагнитола)	14 715			
Переходник N(M)-F(F) для кабеля RG-6U	2 725			
Переходник N(M)-N(M)	2 289			
Переходник N(F)-N(F)	2 289			
Переходник TNC(M)-F(F) для кабеля RG-6U	2 453			
Переходник BNC(M)-N(F)	2 289			
Переходник BNC(M)-UHF(F)	2 289			
Переходник SMA-F/N-M	2 289			
Переходник SMA-F/N-F	2 289			
Переходник SMA-M/N-F	2 289			
Переходник SMA-F/UHF-F	2 289			
Переходник SMA-M/UHF-F	2 289			
Переходник SMA-M/F-F SF-312 (SMA-male - F-female), прямой для кабеля RG-6U	2 600			
Коннектор F(M) для кабеля RG-6U	273			
Коннектор N(M) типа для кабеля LMR400/7D-FB под обжим	1 929			
Коннектор N(M) типа для кабеля LMR400/7D-FB под пайку	2 180			
Коннектор N(F) типа для кабеля LMR400/7D-FB под пайку	2 180			
PL259 разъем для кабеля RG-213 под пайку	2 180			
Коннектор BNC (M) для кабеля  RG213, RG214, LMR400, RG8 под пайку	1 635			
Коннектор TNC (M) для кабеля  RG213, RG214, LMR400, RG8 под пайку	1 635			
Коннектор N(M) типа для кабеля RG58 под пайку	1 635			
Коннектор N(M) типа для кабеля RG58 под обжим	1 417			
Коннектор SMA(M) типа для кабеля RG58 под обжим	1 090			
Коннектор SMA(F) типа для кабеля RG58 под обжим	1 090			
Коннектор FME(F) типа для кабеля RG58 под обжим	1 090			
Коннектор BNC (M) для кабеля RG58 под обжим	1 090			
Коннектор TNC (M) для кабеля RG58 под обжим	1 090			
Коннектор BNC (M) для кабеля RG58 под пайку	1 363			
PL259 разъем для кабеля RG-58 под пайку	1 635			
PL259 разъем для кабеля RG-58 под обжим	1 472			
