Наименование товаров	Розница			
Краткое описание характеристик	KZT			
01. Радиостанции гражданского диапазона 27МГц(СВ)				
2.3. Радиостанции мобильные/стационарные				
Набор для выноса передней панели AT-588UV (кабель 3м, скоба для панели)	12 045			
Р/ст StarNet S-700 64-520/136-520МГц, 999 каналов, GPS, 10/25Вт, гарантия 6 месяцев	57 171			
Р/ст AnyTone AT-778UV 136-174/400-490МГц, 200 каналов, 5/15/25Вт VHF, 5/15/25/25Вт UHF, VOX, гарантия 1 год	89 925			
Р/ст AnyTone AT-5189 400-490МГц, 250 каналов, 45/25/10 Вт  Гарантия 1 год!	109 332			
Р/ст Luiton LT-590 400-490МГц, 200 каналов, 45/25/10 Вт  Гарантия 6 месяцев!	111 507			
Р/ст AnyTone AT-588  400-490МГц, 200 каналов, 45/25/10 Вт  Гарантия 12 месяцев!	115 469			
Р/ст AnyTone AT-588UV 136-174/400-490МГц, 758 каналов, 5/10/20/50Вт VHF, 5/10/25/40Вт UHF  Гарантия 2 года!	173 343			
2.5 УКВ ретрансляторы				
AnyTone AT-7188 (U) УКВ ретранслятор аналоговый  400-480МГц, 25/35Вт, гарантия 1 год	602 225			
Quesum R-8900 (U) УКВ ретранслятор  400-470МГц 30Вт, DMR Tier II/Analogue, гарантия 1 год	968 280			
Quesum R-8900 (V) УКВ ретранслятор  136-174МГц 30Вт, DMR Tier II/Analogue, гарантия 1 год	968 280			
AnyTone R780 (U) УКВ ретрансялтор DMR+analog 400-470МГц 50Вт гарантия 1 год	1 099 614			
AnyTone R780 (V) УКВ ретранслятор DMR+analog 136-174МГц 50Вт гарантия 1 год	1 099 614			
2.6 УКВ дуплексеры				
Фильтр полосовой LBQ-150 136-174МГц, 50Вт, -35дБ	67 803			
Фильтр полосовой LBQ-450 400-500МГц, 50Вт, -50дБ	67 803			
Дуплексер SGQ-450 400-480МГц, 30Вт, разнос 5-20МГц	78 060			
Дуплексер SGQ-150D 136-174МГц, 50Вт, разнос 3.8-15МГц	87 440			
Дуплексер SGQ-450D 400-480МГц, 50Вт, разнос 5-20МГц	88 639			
03. Подавители связи				
JYT-160 Подавитель сотовой связи портативный, 1.5 Ватт, дальность до 10 метров, подавление  GSM, 2G, 3G, 4G LTE, WIFI, Bluetooth, гарантия 1 год	52 647			
JYT-870 Подавитель сотовой связи стационарный, 20 Ватт, 8 антенн, дальность до 40 метров, подавление  GSM, 3G, 4G,  Wi-Fi, Bluetooth, GPS, гарантия 1 год	146 496			
JYT-1260 Подавитель сотовой связи портативный, 10 Ватт, дальность до 20 метров, 12 антенн, подавление GPS, GSM, 2G, 3G, 4G LTE, WIFI, 315, 433, 868, Bluetooth, гарантия 1 год	226 611			
