Код	Артикул	Наименование	Полное наименование	Цена дил.	Цена уцен.	Процент	Причина	Остаток	Заказ
33758y	63836	Коврик для компьютерной мыши Steelseries QCK Heavy - M 2020 Edition	Коврик для компьютерной мыши, Steelseries, QCK Heavy - Medium 2020 edition, 63836, 270x320x6 мм, Резиновая основа, Тканевая поверхность, Склеивание, Гладкая поверхность, Чёрный	11990.0	8300.0	31%	 вскрытая пломба	1.0	
45005y	RZ02-02500700-R3M1	Коврик для компьютерной мыши Razer Goliathus Chroma 3XL	Коврик для компьютерной мыши, Razer, Goliathus Chroma 3XL, RZ02-02500700-R3M1, На базе подсветки Razer Chroma™ с возможностью настройки 16,8 млн цветовых оттенков, Микротекстурированная тканевая поверхность, Резиновое основание, Крепление для фиксации кабеля мыши, 1200 мм*550мл*3,5мл, Чёрный	57990.0	46213.0	20%	мятая коробка	1.0	
67290y	ZDB043-01	Коврик для компьютерной мыши Varmilo Warrior-Soar XL ZDB043-01	Коврик для компьютерной мыши, Varmilo, Warrior-Soar, ZDB043-01, 900х400х3 мм, Каучук, Ткань, Зеленый	6770.0	6093.0	10%	Повреждена упаковка	3.0	
32048y	63826	Коврик для компьютерной мыши Steelseries QCK Prism Cloth - XL	Коврик для компьютерной мыши, Steelseries, QCK Prism Cloth - QCK Prism Cloth - XL, 63826, Подсветка RGB, 900x300x4 мм, Резиновая основа, Тканевая поверхность, Склеивание, Гладкая поверхность, Чёрный	33990.0	20530.0	40%	Не полностью работает подсветка 	1.0	
Игровые кресла									
75754y	CGR-ELI	Игровое компьютерное кресло Cougar Armor Elite	Игровое компьютерное кресло, Cougar, Armor Elite, Искусственная кожа PU AIR, (Ш)54,5*(Г)49*(В)126(133) см, Чёрно-Оранжевый	82655.0	67000.0	19%	1 шт повреждена упаковка	1.0	
55232y	CGR-ARP	Игровое компьютерное кресло Cougar NxSys Aero	Игровое компьютерное кресло, Cougar, NxSys Aero, ПВХ премиум-класса/эластичная сетка, 1*20 см ARGB (Ш)50*(Г)52,5.*(В)133 (139) см, Чёрно-Оранжевый	167821.0	125000.0	26%	упаковка	2.0	
65602y	GC/LPF24LTC/PW	Игровое компьютерное кресло DX Racer Prince GC/LPF24LTC/PW	Игровое компьютерное кресло, DX Racer, GC/LPF24LTC/PW, Prince series. Рекомендуемый рост: до 180 см, Рекомендуемый вес: до 90 кг, Эко-кожа, Угол наклона до 135°, 2D подлокотники, Нейлоновая основа кресла, Механизм качания: топ-ган, Розовый	77866.0	73973.0	5%	"1 - Небольшое повреждение упаковки.
повреждение упаковки
1 - Вскрыта коробка, следы сборки."	2.0	
76492y	GC/LHE23LTA/HUMANCAT	Игровое компьютерное кресло DX Racer Hammer GC/LHE23LTA/Hallo cat	Игровое компьютерное кресло, DX Racer, GC/LHE23LTA/HUMANCAT, Hammer series, Рекомендуемый рост: до 190 см, Рекомендуемый вес: до 115 кг, Эко-кожа, Угол наклона до 135°, 3D подлокотники, Нейлоновая основа кресла, Механизм качания: топ-ган, Розовый	107725.0	99000.0	8%	1 - повреждение упаковки	1.0	
65823y	GC/XXLTK23LTA/NG	Игровое компьютерное кресло DX Racer Tank GC/XXLTK23LTA/NG	Игровое компьютерное кресло, DX Racer, GC/XXLTK23LTA/NG, Tank series, Рекомендуемый рост: до 190 см, Рекомендуемый вес: до 160 кг, Эко-кожа, Металлическая основа кресла, Угол наклона 135°, Механизм качания: топ-ган, 4D подлокотники, Чёрно-серый	165587.0	157308.0	5%	2 - Повреждение коробки	1.0	
65824y	GC/XXLTK23LTA/NW	Игровое компьютерное кресло DX Racer Tank GC/XXLTK23LTA/NW	Игровое компьютерное кресло, DX Racer, GC/XXLTK23LTA/NW, Tank series, Рекомендуемый рост: до 190 см, Рекомендуемый вес: до 160 кг, Эко-кожа, Металлическая основа кресла, Угол наклона 135°, Механизм качания: топ-ган, 4D подлокотники, Чёрно-белый	165587.0	158000.0	5%	повреждение упаковки	1.0	
65825y	GC/XXLTK23LTA/NR	Игровое компьютерное кресло DX Racer Tank GC/XXLTK23LTA/NR	Игровое компьютерное кресло, DX Racer, GC/XXLTK23LTA/NR, Tank series, Рекомендуемый рост: до 190 см, Рекомендуемый вес: до 160 кг, Эко-кожа, Металлическая основа кресла, Угол наклона 135°, Механизм качания: топ-ган, 4D подлокотники, Чёрно-красный	165587.0	158964.0	4%	повреждение упаковки	1.0	
Игровые столы									
51680y	GGD-ARG-BKEIRX-01	Компьютерный стол Thermaltake ARGENT P900 Smart	Компьютерный стол, Thermaltake, ARGENT P900 Smart, GGD-ARG-BKEIRX-01, Поверхность - МДФ, Основание - металл, 165*85*70 см, Чёрный	730615.0	500000.0	32%	"1- потертости и небольшие царапины
"	1.0	
Игровые наушники и гарнитуры									
42946y	61631	Гарнитура Steelseries Arctis Nova 3	Гарнитура, Steelseries, Arctis Nova 3, 61631, Игровая гарнитура, Микрофон выдвижной гибкий, Динамики 40 мм, 36 Ом, 20–22 000 Гц, 3.5 Mini Jack, Чёрный	53990.0	42390.0	21%	вскрытая пломба	4.0	
53299y	61553	Гарнитура Steelseries Arctis Nova 7	Гарнитура, Steelseries, Arctis Nova 7, 61553, Игровая гарнитура, Микрофон выдвижной гибкий, Динамики 40 мм, 36 Ом, 20–22 000 Гц, 3.5 Mini Jack, Беспроводная, Чёрный	107990.0	74000.0	31%	вскрытая пломба	1.0	
42327y	4P5D4AA	Гарнитура HyperX Cloud Alpha Wireless 4P5D4AA	Гарнитура, HyperX, 4P5D4AA, Cloud Alpha Wireless, Микрофон поворотный гибкий, Динамики 50 мм, 30-500 мВт, 50-18000гц, 3.5 Mini Jack, Чёрный, Цветная коробка	105990.0	65000.0	39%	Мятые коробки	1.0	
44454y	RZ04-03470100-R3M1	Гарнитура Razer Kaira Pro for Xbox	Гарнитура, Razer, Kaira Pro for Xbox, RZ04-03470100-R3M1, Игровая гарнитура, беспроводная, микрофон поворотный гибкий, Динамики 50 мм, 7.1 Surround Sound, Диапазон частот: 20 Гц – 20 кГц , Виртуальный объемный звук Windows Sonic, Зарядка полностью разряженной гарнитуры длится приблизительно 4 ч, Диапазон беспроводной связи: 10 м, Чувствительность при 1 кГц: –54±3 дБ, Черный	50990.0	48428.0	5%	"Повреждена упаковка, следы экплуатации. после сц.
"	1.0	
35308y	RZ04-03230100-R3M1	Гарнитура Razer Blackshark V2 + USB Sound Card	Гарнитура, Razer, Blackshark V2 + USB Sound Card, RZ04-03230100-R3M1, Игровая гарнитура, Диапазон частот: 12 - 28,000 Гц, 100 дБ, Сопротивление: 32 Oм на 1 кГц, Динамики: 50 мм, с неодимовыми магнитами , Микрофон однонаправленный подвижный, Проводные, 3,5 мм (mini jack), 1.3 метра, Черный	44990.0	30000.0	33%	1) Повреждена упаковка, следы эксплуатации. 2) Повреждение и замятие упаковки. 3)Товар был использован недолгое время	1.0	
34603y	RZ04-02980100-R3M1	Гарнитура Razer Kraken Kitty Ed. - Black	Гарнитура, Razer, Kraken Kitty Ed. - Black, RZ04-02980100-R3M1, Игровая гарнитура, Микрофон поворотный гибкий, Динамики: 50 мм с неодимовыми магнитами, Диапазон частот: 20 Гц – 20000 Гц , Чувствительность при 1 кГц: 109±3 дБ, Подсветка, Черный	70990.0	43525.0	39%	9 - Повреждена упаковка	8.0	
38832y	RZ04-03480200-R3M1	Гарнитура Razer Kaira for Xbox - White	Гарнитура, Razer, Kaira for Xbox - White, RZ04-03480200-R3M1, Игровая гарнитура, Микрофон поворотный гибкий, Динамики 50 мм, 7.1 Surround Sound, Диапазон частот: 20 Гц – 20 кГц , Чувствительность при 1 кГц: –54±3 дБ, 3,5 мм (mini jack), Белый	31435.0	29745.0	5%	Повреждена упаковка, следы экплуатации.	1.0	
44464y	RZ04-04430300-R3M1	Гарнитура Razer Barracuda X 2022 - Quartz Pink	Гарнитура, Razer, Barracuda X 2022, RZ04-04430300-R3M1, Беспроводные, Микрофон съемный, 20 - 20 000 Гц, Динамики 40 мм, 30 Ом, USB-C, Розовый	54990.0	36999.0	33%	Следы эксплуатации. Потертости.	1.0	
41026y	RZ04-03240600-R3M1	Гарнитура Razer Blackshark V2 X - Green	Гарнитура, Razer, Blackshark V2 X, RZ04-03240600-R3M1, Игровая гарнитура, Динамики 50 мм, 7.1 Surround Sound, 12 - 28000 Гц, 100 дБ, 32 Ом, Микрофон однонаправленный подвижный, 100 Гц – 10000 Гц, - 42 дБ, Проводные, 3,5 мм MiniJack, Зеленый	26990.0	16000.0	41%	"1 - Повреждена упаковка, следы эксплуатации, не комплект.
1 - Повреждена упаковка, следы эксплуатации, загрязнения. акт 73753"	3.0	
Офисные наушники и гарнитуры									
53547y	4099-410-299	Гарнитура Jabra Engage 40 - USB-C UC Stereo	Гарнитура, Jabra, 4099-410-299, Jabra Engage 40 - USB-C UC Stereo, Проводная, Шумоподавление, 2 x MEMS, -10°C to + 50°C, Размер динамика: 20 мм	63772.0	53376.0	16%	Мятая упаковка	1.0	
53548y	4099-413-279	Гарнитура Jabra Engage 40 - (Inline Link) USB-A MS Stereo	Гарнитура, Jabra, 4099-413-279, Jabra Engage 40 - (Inline Link) USB-A MS Stereo, Проводная, Защита слуха PeakStop, Размер динамика: 20 мм, -10°C to + 50°C, 2 x MEMS	78003.0	66303.0	15%	порванная упаковка	1.0	
64267y	26699-999-899	Гарнитура Jabra Evolve2 65 Flex Link380c MS Stereo	Гарнитура, Jabra, 26699-999-899, Evolve2 65 Flex Link380c MS Stereo	105500.0	93000.0	12%	Замятие упаковки, устройство было недолгое вроемя в использовании, дефект потери связи в ПО Microsoft Teams.	1.0	
53543y	28599-999-999	Гарнитура Jabra Evolve2 85 Link380a MS Stereo Black	Гарнитура, Jabra, 28599-999-999, Jabra Evolve2 85, Link380a MS Stereo Black, Беспроводная, Шумоподавление, Cтерео, USB-A, -10°C to + 50°C	177834.0	151160.0	15%	Вскрыта и замята упаковка	1.0	
74587y	H101	Гарнитура Rapoo H101	Гарнитура, Rapoo, H101, Тип крепления: Дуговые, Выходная мощность 50мВт, 3.5MiniJack, Длина кабеля 2.2м	2846.0	1000.0	65%	повреждена упаковка	1.0	
19404y	HSEJ03JY	Наушники Xiaomi Mi Earphones Basic Серебристый	Наушники, Xiaomi, Mi Earphones Basic, HSEJ03JY/ZBW4355TY , Универсальная функция Hands Free, кнопка для управления, Серебристый	2323.0	2116.0	9%	Замятие упаковки, устройство запечатано.	1.0	
TWS наушники									
43722y	M2137E1	Наушники Redmi Buds 4 Белый	Наушники, Redmi, Buds 4, M2137E1/BHR5846GL, 40mAh(наушники), 620mAh(зарядный кейс), Время работы от одного заряда 6 часов, Type-C, Время заряда 2 часа, Bluetooth 5.2, Дальность беспроводного соединения 10м, Вес 4,5гр (наушник)/49гр общий вес, Белый	14990.0	12597.0	16%	Потеря товарного вида	1.0	
65916y	M2341E1	Наушники Xiaomi Buds 5 Titan Gray	Наушники, Xiaomi, Buds 5 Titan Gray, BHR8116GL, M2341E1, 35mAh(наушники), 480mAh(зарядный кейс), Время работы наушников с одного заряда до 6 часов, Время работы с кейсом до 30 часов, Type-C, Время заряда 2 часа, Bluetooth 5.4, Вес 4,2 гр, Дальность дествия 10м, Серый	40311.0	34554.0	14%	Потеря товарного вида	1.0	
50270y	M2126E1	Наушники Xiaomi Buds 4 Pro Золотистый	Наушники, Xiaomi, Buds 4 Pro, M2126E1/BHR6156GL, L71, Type-C, SBC/AAC/LDAC, Bluetooth5.3, 53mAh (наушники), 565mAh (кейс для зарядки), Время работы 9ч, общее время работы с кейсом для зарядки 38ч, Золотистый	76990.0	37868.0	51%	 Небольшие потертости. Полный комплект.	1.0	
50201y	M2126E1	Наушники Xiaomi Buds 4 Pro Черный	Наушники, Xiaomi, Buds 4 Pro, M2126E1/BHR6154GL, L71, Type-C, SBC/AAC/LDAC, Bluetooth5.3, 53mAh (наушники), 565mAh (кейс для зарядки), Время работы 9ч, общее время работы с кейсом для зарядки 38ч, Черный	85162.0	77275.0	9%	Небольшие потертости. Полный комплект.	1.0	
54280y	ES903	Наушники 1MORE AERO ES903 Черный	Наушники,1MORE, AERO ES903, Внутриканальные, Беспроводные, Пространственный звук 2,400 ГГц – 2,4835 ГГц, 32 Oм, Мощность 5мВт, Размер 39,42  20,33  24,36 мм( наушник)/61,99  58,40  25,5 мм( кейс), Емкость аккумулятора 40 мАч(наушник)/450 мАч (кейс), Время заряда 1ч( наушник)/ 2ч( кейс), Время работы 7ч (наушник)/28ч (кейс), Bluetooth® 5.2, HFP A2DP /AVRCP, Вес 55,1 г, Черный	29058.0	30109.0	-4%	Повреждение и замятие упаковки	1.0	
58851y	55036940	Наушники Huawei FreeBuds SE 2 T0016 White	Беспроводные наушники, Huawei, FreeBuds SE 2 T0016, каждый наушник около 4,1 г, Bluetooth 5.2, Type-C, (White) Белый	14890.0	10000.0	33%	Потеря товарного вида	1.0	
65999y	55037549	Наушники Huawei FreeBuds 6i T0019 White	Беспроводные наушники, Huawei, FreeBuds 6i T0019, 14 Гц - 40 кГц, каждый наушник около 5,4 г, 55 мАч (один наушник), 510 мАч (кейс), Bluetooth 5.3, Type-C, (White) Белый	34890.0	20000.0	43%	Вскрыта упаковка. Потёртости. Потеря емкости АКБ.	1.0	
66001y	55037548	Наушники Huawei FreeBuds 6i T0019 Black	Беспроводные наушники, Huawei, FreeBuds 6i T0019, 14 Гц - 40 кГц, каждый наушник около 5,4 г, 55 мАч (один наушник), 510 мАч (кейс), Bluetooth 5.3, Type-C, (Black) Чёрный	34890.0	20000.0	43%	"Следы использования
Вскрыта упаковка
Вскрыта упаковка. Потёртости. Потеря емкости АКБ."	3.0	
59975y	55037053	Наушники Huawei FreeBuds Pro 3 T0018 Ceramic White	Беспроводные наушники, Huawei, FreeBuds Pro 3 T0018, 14 Гц - 48 кГц, каждый наушник около 5,8, г, 55 мАч (один наушник), 510 мАч (кейс), Type-C, (Ceramic White) Белый	79990.0	42995.0	46%	Следы использования и загрязнения	2.0	
72966y	OW01	Наушники TECNO FreeHear 1 OW01 Grey	Беспроводные наушники, TECNO, FreeHear 1, OW01, 20 Гц - 20000 Гц, вес 39,9 г, 46 мАч (один наушник), 460 мАч (кейс), Bluetooth 5.4, Type-C, (Grey) Серый	18743.0	12500.0	33%	"3 - Вскрыта упаковка.
3 - Повреждение Коробки. Мелкие царапины ,Потеря емкости АКБ
2 - Отсутствует упаковочный пакет устройства. Следы эксплуатации.
1 - Повреждения на коробке. Вскрыта коробка.
1- Вскрыта коробка."	17.0	
36781y	ZMKTW100GLWH	Наушники ZMI PurPods Pro TW100 Белый	Наушники, ZMI, PurPods Pro TW100, Активное шумоподавление,5V/0.5A, 108Дб, 18 Ом, 20-20000Гц, Дальность беспроводной связи 10м, Беспроводная зарядка кейса, IPX4, Белый	26852.0	10127.0	62%	С витрины. Небольшие потертости	3.0	
37557y	ZMKTW100GLGR	Наушники ZMI PurPods Pro TW100 Серый	Наушники, ZMI, PurPods Pro TW100, ZMKTW100GLGR, Активное шумоподавление,5V/0.5A, 108Дб, 18 Ом, 20-20000Гц, Дальность беспроводной связи 10м, Беспроводная зарядка, IPX4, Серый	27378.0	10350.0	62%	С витрины. Небольшие потертости	3.0	
65915y	M2341E1	Наушники Xiaomi Buds 5 Ceramic White	Наушники, Xiaomi, Buds 5 Ceramic White, BHR8117GL, M2341E1, 35mAh(наушники), 480mAh(зарядный кейс), Время работы наушников с одного заряда до 6 часов, Время работы с кейсом до 30 часов, Type-C, Время заряда 2 часа, Bluetooth 5.4, Вес 4,2 гр, Дальность дествия 10м, Белый	40311.0	34554.0	14%	Потеря товарного вида	1.0	
Микрофоны									
42810y	RZ19-04150100-R3M1	Микрофон Razer Seiren	Микрофон, Razer, Seiren BT, RZ19-04150100-R3M1	32294.0	30870.0	4%	1 - Нет товарного вида	1.0	
34609y	RZ19-03060100-R3M1	Микрофон Razer Seiren Emote	Микрофон, Razer, Seiren Emote, RZ19-03060100-R3M1, Динамический, Однонаправленный, 120 дБ, 50 - 20000Гц, 16 бит, Черный	59989.0	55000.0	8%	6 - Потеря товарного вида	6.0	
Умные колонки									
65832y	YNDX-00026VIO	Умная колонка Яндекс Станция Лайт с Алисой Второе поколение Фиолетовый	Умная колонка, Яндекс, YNDX-00026VIO, Яндекс Станция Лайт Второе поколение, YaGPT, 6Вт, 2 микрофона, USB TYPE-C, Фиолетовый	33990.0	27000.0	21%	После АСЦ. Потёртости и царапины	1.0	
77421y	YNDX-00030BLK	Портативная умная колонка Яндекс Станция Стрит с Алисой, 30 Вт, Черный	Портативная умная колонка, Яндекс, YNDX-00030BLK, Яндекс Станция Стрит с Алисой, 30 Вт, 3 микрофона, 80 - 20 000 Гц, Wi-Fi (2,4–5 ГГц), Bluetooth 5.0, Черный	69990.0	66233.0	5%	Вскрытая упаковка, потертости 	1.0	
Акустика с технологией Bluetooth									
43682y	MDZ-36-DB	Портативная колонка Mi Portable Bluetooth Speaker (16W) Красный	Портативная колонка, Mi Portable Bluetooth Speaker (16W), QBH4242GL/MDZ-36-DB, 28 Вт,80 Гц-20 кГц, Время работы 13 часов, Красный	16000.0	12000.0	25%	"Потеря товарного вида.Следы использования, 
1 -Выполнен заряд АКБ, повреждена коробка.
2 Выполнен заряд АКБ, повреждена коробка.
3 Упаковка вскрыта. Потёртости. Потеря ёмкости АКБ
4 Потеря товарного вида.Следы использования, 
5 Повреждение упаковки, потертости, потеря емкости АКБ.
6 Вскрыта упаковка, товар был на витрине."	4.0	
69456y	ASM02G	Портативная колонка Xiaomi Bluetooth Speaker	Портативная колонка, Xiaomi, Bluetooth Speaker, ASM02G/QBH4275GL, Параметры 20,2*7,3*7,3см, Вес 660гр, Высокочастотный динамик x2, Среднечастотный динамик x1, Пассивный излучатель х2, Мощность 40Вт, Оснащен 1 микрофоном для звонков по Bluetooth, Bluetooth 5.3, поддерживает воспроизведение музыки LHDC, Type-C, 4800 мАч, Черный	28901.0	26000.0	10%	Небольшое загрязнение упаковки, слабые потертости	1.0	
36560y	MDZ-36-DB	Портативная колонка Xiaomi Mi Outdoor Speaker(16W) Black	Портативная колонка, Xiaomi, Mi Ourdoor Speaker(16W), MDZ-36-DB, 28 Вт,80 Гц-20 кГц, Время работы 13 часов, Черный	15990.0	12000.0	25%	Повреждена и вскрыта упаковка	1.0	
Телевизоры									
72011y	YNDX-00075	"ТВ Станция Бейсик Яндекс YNDX-00075 с Алисой на YaGPT 50"""	"ТВ Станция Бейсик, Яндекс, YNDX-00075, с Алисой на YaGPT 50"", KSF LED, 4K Ultra HD, 60 Гц, 320 нит, 30 Вт, 2 динамика, YaOS X, RAM 2 GB, Flash 32 GB, 178/178, Wi-Fi, USB 2х2.0, Bluetooth 5.1, HDMI 3х2.1, черный"	217490.0	200490.0	8%	"Вскрыта упаковка 
N10NVR302TTQBK -  Вмятина на задней крышке. Поврежденине коробки "	6.0	
72012y	YNDX-00076	"ТВ Станция Бейсик Яндекс YNDX-00076 с Алисой на YaGPT 55"""	"ТВ Станция Бейсик, Яндекс, YNDX-00076, с Алисой на YaGPT 55"", KSF LED, 4K Ultra HD, 60 Гц, 320 нит, 30 Вт, 2 динамика, YaOS X, RAM 2 GB, Flash 32 GB, 178/178, Wi-Fi, USB 2х2.0, Bluetooth 5.1, HDMI 3х2.1, черный"	248490.0	195990.0	21%	 Повреждения на коробке. 	1.0	
72013y	YNDX-00077	"ТВ Станция Бейсик Яндекс YNDX-00077 с Алисой на YaGPT 65"""	"ТВ Станция Бейсик, Яндекс, YNDX-00077, с Алисой на YaGPT 65"", KSF LED, 4K Ultra HD, 60 Гц, 400 нит, 30 Вт, 2 динамика, YaOS X, RAM 2 GB, Flash 32 GB, 178/178, Wi-Fi, USB 2х2.0, Bluetooth 5.1, HDMI 3х2.1, черный"	372990.0	288804.0	23%	Повреждение коробки 	1.0	
80510y	YNDX-00105	"ТВ Станция Яндекс Про MiniLED 75"""	"ТВ Станция, Яндекс, Про MiniLED 75"",YNDX-00105, Ultra HD 4K, 38402160, 144 Гц, 550 (nits), звук 50 Вт, число динамиков - 22 + 1 , YaOS X, RAM 4 GB, Flash 32 GB, Wi-Fi, Bluetooth 5.1 + BLE, 3HDMI 2.1, 166896979"	879990.0	730713.0	17%	Повреждение коробки	1.0	
73608y	YNDX-00094	"Телевизор Яндекс ТВ Станция с Алисой на YandexGPT QLED 4K UHD 50"""	"Телевизор Яндекс, ТВ Станция с Алисой на YandexGPT, YNDX-00094, QLED 50"", 38402160 4K UHD, 60 Гц, 450 (nits), звук 34 Вт , 4 динамика, YaOS X, RAM 3 GB, Flash 32 GB, Wi-Fi, 2  USB 2.0 + 1USB 3.0, Bluetooth 5.1 + BLE, 3HDMI 2.2, черный"	299990.0	228599.0	24%	Потертости на устройстве. Отсутствует внутренний упаковочный материал.	1.0	
73609y	YNDX-00095	"Телевизор Яндекс ТВ Станция с Алисой на YandexGPT QLED 4K UHD 55"""	"Телевизор Яндекс, ТВ Станция с Алисой на YandexGPT, YNDX-00095, QLED 55"", 38402160 4K UHD, 60 Гц, 450 (nits), звук 34 Вт , 4 динамика, YaOS X, RAM 3 GB, Flash 32 GB, Wi-Fi, 3  USB 2.0 + 1USB 3.0, Bluetooth 5.1 + BLE, 3HDMI 2.3, черный"	324990.0	260271.0	20%	Повреждение коробки.	1.0	
73610y	YNDX-00096	"Телевизор Яндекс ТВ Станция с Алисой на YandexGPT QLED 4K UHD 65"""	"Телевизор Яндекс, ТВ Станция с Алисой на YandexGPT, YNDX-00096, QLED 65"", 38402160 4K UHD, 60 Гц, 450 (nits), звук 34 Вт , 4 динамика, YaOS X, RAM 3 GB, Flash 32 GB, Wi-Fi, 4  USB 2.0 + 1USB 3.0, Bluetooth 5.1 + BLE, 3HDMI 2.4, черный"	419990.0	330000.0	21%	Повреждение коробки T60AYC302WXQDK	1.0	
61212y	L32M8-A2RU	"Смарт телевизор Xiaomi A 2025 32"" (L32M8-A2RU)"	"Смарт телевизор, Xiaomi, A 2025 32"", L32M8-A2RU, HD (1366*768), 60 Гц, Android, Quad A55, Mali G31 MP2, 1.5GB/8GB, 178/178, динамики 2x5 В, Bluetooth, Wi-Fi, HDMIx2, USB, AV, LAN,VESA 100*100, металическая рамка, черный"	82990.0	72000.0	13%	Разрыв на упаковочном мешке. Товар исправен 	2.0	
61211y	L43MA-AURU	"Смарт телевизор Xiaomi A 2025 43"" (L43MA-AURU)"	"Смарт телевизор, Xiaomi, A 2025 43"", L43MA-AURU, UHD (3840x2160), 60 Гц, Android, Quad A55, Mali G52 MC1, 2GB/8GB, 178/178, динамики 2x8 В, Bluetooth, Wi-Fi, HDMIx3, USB, AV, LAN, VESA 200*100, металическая рамка, черный"	139990.0	132991.0	5%	"1)повреждена упаковка. Товар исправен 132 991тг
2)разрыв пакета аксессуаров. Товар исправен 132 991тг
3)нет пенопласта, защитной плёнки. Товар исправен 132 991тг
"	1.0	
61207y	L55MA-SRU	"Смарт телевизор Xiaomi A Pro 2025 55"" (L55MA-SRU)"	"Смарт телевизор, Xiaomi, A Pro 2025 55"", L55MA-SRU, QLED, UHD (3840x2160), 60 Гц, Android, Quad A55, Mali G52 MC1, 2GB/8GB, 178/178, динамики 2x10 В, Bluetooth, Wi-Fi, HDMIx3, USB, AV, LAN, VESA 200*200, металическая рамка, черный"	219990.0	180000.0	18%		1.0	
74186y	L55MA-SPLRU	"Смарт телевизор Xiaomi 2025 S MiniLED 55"" (L55MA-SPLRU)"	"Смарт телевизор, Xiaomi, 2025 S MiniLED 55"", L55MA-SPLRU, MiniLED, 4K(3840x2160),144 Гц, Android, Quad cortex A73, Mali-G52 (2EE) MC1, 3GB/32GB, 178/178, динамики 2x12.5 В, Bluetooth, Wi-Fi, HDMI2.1x3, USB(2.0)x1 USB(3.0)x1, AV, LAN, VESA 300*300, пластиковая рамка,темно-серый"	289990.0	260000.0	10%	"Царапины, потертости, загрязнения на устройстве
Нет защитной плёнки на экране. "	2.0	
74191y	L65MA-SPLRU	"Смарт телевизор Xiaomi 2025 S MiniLED 65"" (L65MA-SPLRU)"	"Смарт телевизор, Xiaomi, 2025 S MiniLED 65"", L65MA-SPLRU, MiniLED, 4K(3840x2160),144 Гц, Android, Quad cortex A73, Mali-G52 (2EE) MC1, 3GB/32GB, 178/178, динамики 2x12.5 В, Bluetooth, Wi-Fi, HDMI2.1x3, USB(2.0)x1 USB(3.0)x1, AV, LAN, VESA 300*300, пластиковая рамка,темно-серый"	419990.0	375000.0	11%	Царапины, потертости, загрязнения на устройстве	1.0	
82762y	L43MB-AURU	Смарт телевизор Xiaomi A 2026 43” (L43MB-AURU)	Смарт телевизор, Xiaomi, A 2026 43”, L43MB-AURU, 4K UHD (38402160), 60Гц, Android, QuadA55, MaliG52MC1, 2GB/8GB, 178°/178°, Dolby Audio/DTS-X/DTS, динамики 210Вт, Bluetooth, WiFi, HDMIx3, USB, AV, LAN, Optical Out, CI+ Slot, VESA 100200мм, металлическая рамка, черный	129990.0	113908.0	12%	"Разрыв пакета аксессуаров. Товар полностью исправен 113 908тг
Разрыв пакета аксессуаров. Товар полностью исправен 113 908тг
Вскрыта упаковка. Товар исправен 113 908тг
Разрыв упаковочного мешка. Товар исправен 113 908тг"	2.0	
82763y	L50MB-ARU	Смарт телевизор Xiaomi A 2026 50” (L50MB-ARU)	Смарт телевизор, Xiaomi, A 2026 50”, L50MB-ARU, 4K UHD (38402160), 60Гц, Android, QuadA55, MaliG52MC1, 2GB/8GB, 178°/178°, Dolby Audio/DTS-X/DTS, динамики 210Вт, Bluetooth, WiFi, HDMIx3, USB, AV, LAN, Optical Out, CI+ Slot, VESA 100200мм, металлическая рамка, черный	159990.0	148791.0	7%	Повреждение упаковки. Товар исправен 	9.0	
83505y	L55MB-ARU	Смарт телевизор Xiaomi A 2026 55” (L55MB-ARU)	Смарт телевизор, Xiaomi, A 2026 55”, L55MB-ARU, 4K UHD (38402160), 60Гц, Android, QuadA55, MaliG52MC1, 2GB/8GB, 178°/178°, Dolby Audio/DTS-X/DTS, динамики 210Вт, Bluetooth, WiFi, HDMIx3, USB, AV, LAN, Optical Out, CI+ Slot, VESA 200300мм, металлическая рамка, черный	199990.0	180000.0	10%	Разрыв защитного мешка	2.0	
82765y	L50MB-APRU	Смарт телевизор Xiaomi A Pro 2026 50” (L50MB-APRU)	Смарт телевизор, Xiaomi, A Pro 2026 50”, L50MB-APRU, QLED, 4K UHD (38402160), 60Гц, Android, QuadA55, MaliG52MC1, 2GB/8GB, 178°/178°, Dolby Audio/DTS-X/DTS, динамики 210Вт, Bluetooth, WiFi, HDMIx3, USB, AV, LAN, Optical Out, CI+ Slot, VESA 100x200мм, металлическая рамка, черный	189990.0	132993.0	30%	Повреждение упаковки, товар исправен	5.0	
82766y	L55MB-APRU	Смарт телевизор Xiaomi A Pro 2026 55” (L55MB-APRU)	Смарт телевизор, Xiaomi, A Pro 2026 55”, L55MB-APRU, QLED, 4K UHD (38402160), 60Гц, Android, QuadA55, MaliG52MC1, 2GB/8GB, 178°/178°, Dolby Audio/DTS-X/DTS, динамики 210Вт, Bluetooth, WiFi, HDMIx3, USB, AV, LAN, Optical Out, CI+ Slot, VESA 200300мм, металлическая рамка, темно-серый	229990.0	180000.0	22%	"После ремонта в АСЦ. 180 000тг 
"	1.0	
