Код	Артикул	Наименование	Полное наименование	Цена роз.	Цена сайт
Ноутбуки					
4353	S7025YL0200-P	Патч Корд SHIP Cat.6 FTP LSZH RJ-45 2 м S7025YL0200-P	Патч Корд, SHIP, S7025YL0200-P, Cat.6, FTP, LSZH, RJ-45, 2 м, Жёлтый, Экранированный, Пол. пакет	1484.0	1409.8
38524	S8025BL0200-P	Патч Корд SHIP Cat.6A SFTP LSZH RJ-45 2 м S8025BL0200-P	Патч Корд, SHIP, S8025BL0200-P, Cat.6A, SFTP, LSZH, RJ-45, 2 м, Синий, Экранированный, Пол. пакет	1445.0	1372.75
1772	APP001RD3	Патч Корд A&P Cat.5 UTP RJ-45 3 м APP001RD3	Патч Корд, A&P, APP001RD3, Cat.5, UTP, RJ-45, 3 м, Красный, Пол. пакет	862.0	818.9
1771	APP001BK3	Патч Корд A&P Cat.5 UTP RJ-45 3 м APP001BK3	Патч Корд, A&P, APP001BK3, Cat.5, UTP, RJ-45, 3 м, Чёрный, Пол. пакет	802.0	761.9
45717	051638	Патч Корд Legrand Cat.5e UTP PVC RJ-45 3 м	Патч Корд, Legrand, 051638, Cat. 5e, UTP, PVC, RJ-45, 3 м, серый, Пол. пакет	5624.0	5342.8
1309	S3025BL0300-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 3 м S3025BL0300-P	Патч Корд, SHIP, S3025BL0300-P, Cat.5e, UTP, LSZH, RJ-45, 3 м, Синий, Пол. пакет	1695.0	1610.25
611	S3025RD0300-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 3 м S3025RD0300-P	Патч Корд, SHIP, S3025RD0300-P, Cat.5e, UTP, LSZH, RJ-45, 3 м, Красный, Пол. пакет	1695.0	1610.25
608	S3025YL0300-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 3 м S3025YL0300-P	Патч Корд, SHIP, S3025YL0300-P, Cat.5e, UTP, LSZH, RJ-45, 3 м, Жёлтый, Пол. пакет	1695.0	1610.25
1949	S3025BK0300-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 3 м S3025BK0300-P Пол. пакет	Патч Корд, SHIP, S3025BK0300-P, Cat.5e, UTP, LSZH, RJ-45, 3 м, Чёрный, Пол. пакет	1695.0	1610.25
4313	S4025BK0300-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 3 м S4025BK0300-P	Патч Корд, SHIP, S4025BK0300-P, Cat.5e, FTP, LSZH, RJ-45, 3 м, Чёрный, Экранированный, Пол. пакет	1506.0	1430.7
