Код	Артикул	Наименование	Полное наименование	Цена роз.	Цена сайт
Ноутбуки					
84326	Corebook Plus R1603-A5	"Ноутбук Chuwi Corebook Plus 16"" FHD Ryzen 5-7430U 16GB 512GB Win 11"	"Ноутбук, Chuwi, Corebook Plus, 16"", FHD, 1920x1200, IPS, Ryzen 5-7430U, 16GB LPDDR4, 512GB SSD, AMD Radeon Graphics, Win 11 Home, Серый"	299990.0	284990.5
84330	Corebook Air Plus 16&quot; R5	"Ноутбук Chuwi Corebook Air Plus 16"" FHD Ryzen 5-6600H 16GB 512GB Win 11"	"Ноутбук, Chuwi, Corebook Air Plus, 16"", FHD, 1920x1200, IPS, Ryzen 5-6600H, 16GB LPDDR5, 512GB SSD, AMD Radeon 660M, Win 11 Pro, Серебро"	319990.0	303990.5
78324	GAMING A16 CWHI3KZ894SD	"Ноутбук Gigabyte Gaming A16 16"" WUXGA 165Hz i7-13620H 16GB 1TB RTX5070 DOS"	"Ноутбук, Gigabyte, Gaming A16 CWHI3KZ894SD, 9RGA6I77WHFHJK0KZ000, 16"", WUXGA 1920x1200, IPS, 165Hz, i7-13620H, 16GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5070, 8GB GDDR7, DOS, Черный"	759990.0	721990.5
88512	3VHK3KZ893SD	Ноутбук Gigabyte Gaming A16 FHD+ 165Hz Ryzen 7 260 16GB 512GB RTX5060 DOS	"Ноутбук, Gigabyte, GAMING A16 3VHK3KZ893SD, 16"", FHD+ 1920x1200, IPS, 165Hz, AMD Ryzen 7 260, 16GB DDR5, 512G SSD M.2 Gen4, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Зеленый"	869990.0	826490.5
86993	3THK3KZ893SD	"Ноутбук Gigabyte GAMING A16 16"" FHD+ 165Hz Ryzen 7 260 16GB 512GB RTX5050 DOS"	"Ноутбук, Gigabyte GAMING A16 3THK3KZ893SD, 9RGA6AB5THKHIK0KZ000, 16"", FHD+ 1920x1200, IPS, 165Hz, Ryzen 7 260, 16GB DDR5, 512GB SSD, NVIDIA GeForce RTX 5050, 8GB GDDR7, DOS, Черный"	739990.0	702990.5
88513	3VHK3KZ894SD	Ноутбук Gigabyte Gaming A16 FHD+ 165Hz Ryzen 7 260 16GB 1TB RTX5060 DOS	"Ноутбук, Gigabyte, GAMING A16 3VHK3KZ894SD, 16"", FHD+ 1920x1200, IPS, 165Hz, AMD Ryzen 7 260, 16GB DDR5, 1TB SSD M.2 Gen4, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Черный"	899990.0	854990.5
86992	3THK3KZ894SD	"Ноутбук Gigabyte GAMING A16 16"" FHD+ 165Hz Ryzen 7 260 16GB 1TB RTX5050 DOS"	"Ноутбук, Gigabyte GAMING A16 3THK3KZ894SD, 9RGA6AB5THKHJK0KZ000, 16"", FHD+ 1920x1200, IPS, 165Hz, Ryzen 7 260, 16GB DDR5, 1TB SSD, NVIDIA GeForce RTX 5050, 8GB GDDR7, DOS, Черный"	824990.0	783740.5
88022	3WHK3KZC94SD	Ноутбук GIGABYTE GAMING A18 WQXGA 165Hz Ryen 7 260 16GB 1TB RTX5070 DOS	"Ноутбук, Gigabyte, GAMING A18 3WHK3KZC94SD, 9RGA8AB7WHKDJK0KZ000, 18"", WQXGA 2560x1600, IPS, 165Hz, Ryen 7 260, 16GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5070, 8GB GDDR7, DOS, Черный"	1119990.0	1063990.5
78704	AERO X16 1VH93KZC94AD	"Ноутбук Gigabyte AERO X16 16"" QHD 165Hz Ryzen AI 7 350 16GB 1TB RTX5060 DOS"	"Ноутбук, Gigabyte, AERO X16 1VH93KZC94AD, 9REG6AB6VH2DJK0KZ000, 16"", WQXGA, 2560x1600, IPS, 165Hz, AMD Ryzen AI 7 350, 16G*1 DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Серый"	799990.0	759990.5
85548	1VH93KZC64AD	"Ноутбук Gigabyte AERO X16 16"" QHD+ 165Hz Ryzen AI 7 350 32GB 1TB NVIDIA GeForce RTX 5060 DOS"	"Ноутбук, Gigabyte AERO X16 1VH93KZC64AD, 9REG6AB6VH2DJH0KZ000, 16"", WQXGA 2560x1600, IPS, 165Hz, Ryzen AI 7 350, 32GB DDR5, 1TB SSD, NVIDIA GeForce RTX 5060, 8GB GDDR7, DOS, Серый"	949990.0	902490.5
78315	AERO X16 1WH93KZC64DH	"Ноутбук Gigabyte AERO X16 16"" QHD 165Hz Ryzen AI 7 350 32GB 1TB RTX5070 Win11"	"Ноутбук, Gigabyte, AERO X16 1WH93KZC64DH, 9REG6AB7WH1DJHEKZ000, 16"", QHD+, 2560x1600, IPS, 165Hz, AMD Ryzen AI 7 350 (Krachen R7), 32GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5070, 8GB GDDR7, Win 11 Home, Белый"	989990.0	940490.5
85546	1WH93KZC64DH	"Ноутбук Gigabyte AERO X16 16"" QHD+ 165Hz Ryzen AI 7 350 32GB 1TB NVIDIA GeForce RTX 5070 Windows 11"	"Ноутбук, Gigabyte AERO X16 1WH93KZC64DH, 9REG6AB7WH1DJHEKZ000, 16"", QHD+ 2560x1600, IPS, 165Hz, Ryzen AI 7 350, 32GB DDR5, 1TB SSD, NVIDIA GeForce RTX 5070, 8GB GDDR7, Windows 11, Белый"	1179990.0	1120990.5
76480	AORUS MASTER 16 BYHC5KZE64SP	Ноутбук Gigabyte AORUS Master 16 QHD 240Hz OLED Ultra9-275HX 32GB 1TB RTX5080 Win11	"Ноутбук, Gigabyte, AORUS Master 16 BYHC5KZE64SP,16"", QHD 2560x1600, OLED, 240Hz, Ultra9-275HX, 32GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5080, 16GB GDDR7, Win11Pro, Черный"	1899990.0	1804990.5
88111	S3407CA-LY094	"Ноутбук ASUS Vivobook S14 S3407CA-LY094 14"" FHD+ 60Hz Core Ultra 225H 16GB 512GB DOS"	"Ноутбук, ASUS, Vivobook S14 S3407CA-LY094, 90NB16J1-M00BL0, 14"", FHD+ 1920x1200, IPS, 60Hz, Core Ultra 225H, 16GB DDR5, 512GB SSD M.2, Intel Graphics, DOS, Серебряный"	434990.0	413240.5
85437	M1407GA-LY030	"Ноутбук ASUS Vivobook 14 M1407GA-LY030 14"" FHD+ 60Hz AMD R7 6C 16GB 1TB DOS"	"Ноутбук, ASUS Vivobook 14 M1407GA-LY030, 90NB1702-M001F0, 14"", FHD+ 1920x1200, IPS, 60Hz, AMD Ryzen AI7445, 16GB DDR5, 1TB SSD M.2, AMD Radeon Graphics, DOS, Золотой"	449990.0	427490.5
85444	S3407CA-LY014W	"Ноутбук ASUS Vivobook S14 S3407CA-LY014W 14"" FHD+ 60Hz Core 5 225H 16GB 512GB Win11"	"Ноутбук, ASUS Vivobook S14 S3407CA-LY014W, 90NB16J1-M00640, 14"", FHD+ 1920x1200, IPS, 60Hz, Core Ultra 5 225H, 16GB DDR5, 512GB SSD M.2, Intel Graphics, Windows 11 Home, Серебряный"	529990.0	503490.5
87750	TP3407SA-SG231W	"Ноутбук ASUS Vivobook 14 Flip TP3407SA-SG231W 14"" FHD+ 60Hz Core Ultra 5 226V 16GB 512GB Win 11"	"Ноутбук, ASUS, Vivobook 14 Flip TP3407SA-SG231W, 90NB14Y1-M00JB0, 14"", FHD+ 1920x1200, OLED, 60Hz, Core Ultra 5 226V, 16GB LPDDR5X, 512GB SSD M.2, Intel Arc Graphics, Windows 11 Home, Серый + Стилус"	559990.0	531990.5
88112	M1502NAQ-BQ067	"Ноутбук ASUS Vivobook 15 M1502NAQ-BQ067 15,6"" FHD 60Hz Ryzen 5 150 16GB 512GB DOS"	"Ноутбук, ASUS, Vivobook 15 M1502NAQ-BQ067, 90NB1841-M006C0, 15,6"", FHD 1920x1080, IPS, 60Hz, Ryzen 5 150, 16GB DDR5, 512GB SSD M.2, AMD Radeon Graphics, DOS, Синий"	342990.0	325840.5
88116	M1502NAQ-BQ044W	"Ноутбук ASUS Vivobook 15 M1502NAQ-BQ044W 15,6"" FHD 60Hz Ryzen 5 150 16GB 512GB Win 11"	"Ноутбук, ASUS, Vivobook 15 M1502NAQ-BQ044W, 90NB1841-M00H70, 15,6"", FHD 1920x1080, IPS, 60Hz, Ryzen 5 150, 16GB DDR5, 512GB SSD M.2, AMD Radeon Graphics, Windows 11 Home, Синий"	405990.0	385690.5
85708	M1502NAQ-BQ026W	"Ноутбук ASUS Vivobook 15 M1502NAQ-BQ026W 15,6"" FHD 60Hz Ryzen 7 170 16GB 512GB Win11"	"Ноутбук, ASUS Vivobook 15 M1502NAQ-BQ026W, 90NB1841-M00CU0, 15,6"", FHD 1920x1080, IPS, 60Hz, Ryzen 7 170, 16GB DDR5, 512GB SSD M.2, AMD Radeon Graphics, Windows 11 Home, Синий"	459990.0	436990.5
88113	X1607CA-MB121	"Ноутбук ASUS Vivobook 16 X1607CA-MB121 16"" FHD+ 60Hz Core Ultra 7 255H 16GB 512GB DOS"	"Ноутбук, ASUS, Vivobook 16 X1607CA-MB121, 90NB15A2-M00KJ0, 16"", FHD+ 1920x1200, IPS, 60Hz, Core Ultra 7 255H, 16GB DDR5, 512GB SSD M.2, Intel Graphics, DOS, Серебряный"	427990.0	406590.5
87754	TP3607SA-SI103W	"Ноутбук ASUS Vivobook 16 Flip TP3607SA-SI103W 16"" FHD+ 60Hz Core Ultra 5 226V 16GB 512GB Win 11"	"Ноутбук, ASUS, Vivobook 16 Flip TP3607SA-SI103W, 90NB1511-M009W0, 16"", FHD+ 1920x1200, OLED, 60Hz, Core Ultra 5 226V, 16GB LPDDR5X, 512GB SSD M.2, Intel Arc Graphics, Windows 11 Home, Серый"	586990.0	557640.5
85439	M1807GA-S8007	"Ноутбук ASUS Vivobook 18 M1807GA-S8007 18"" FHD+ 144Hz AMD R7 6C 32GB 1TB DOS"	"Ноутбук, ASUS Vivobook 18 M1807GA-S8007, 90NB17Y1-M000K0, 18"", FHD+ 1920x1200, IPS, 144Hz, AMD Ryzen AI7445, 32GB DDR5, 1TB SSD M.2, AMD Radeon Graphics, DOS, Синий"	599990.0	569990.5
85438	V3607VP-RP059	"Ноутбук ASUS V16 V3607VP-RP059 16"" FHD+ 144Hz Core 5 210H 32GB 512GB RTX5070 DOS"	"Ноутбук, ASUS, V16 V3607VP-RP059, 90NB16R1-M004L0, 16"", FHD+ 1920x1200, IPS, 144Hz, Core 5 210H, 32GB DDR5, 512GB SSD M.2, NVIDIA GeForce RTX 5070, 8GB GDDR7, DOS, Черный"	899990.0	854990.5
85440	UM3406GA-QD049	"Ноутбук ASUS Zenbook 14 UM3406GA-QD049 14"" OLED 60Hz AMD AI 5 430 16GB 512GB DOS"	"Ноутбук, ASUS Zenbook 14 UM3406GA-QD049, 90NB17R1-M00210, 14"", FHD+ 1920x1200, OLED, 60Hz, AMD Ryzen AI 5 430, 16GB LPDDR5X, 512GB SSD M.2, AMD Radeon Graphics, DOS, Черный"	549990.0	522490.5
88114	UX3407QA-QD215W	"Ноутбук ASUS Zenbook A14 UX3407QA-QD215W 14"" FHD+ 60Hz Snapdragon X 16GB 512GB Win 11"	"Ноутбук, ASUS, Zenbook A14 UX3407QA-QD215W, 90NB1502-M00MN0, 14"", FHD+ 1920x1200, OLED, 60Hz, Snapdragon X, 16GB LPDDR5X, 512GB SSD M.2, Qualcomm Adreno GPU, Windows 11 Home, Серый"	612990.0	582340.5
85441	UM3406GA-QD134	"Ноутбук ASUS Zenbook 14 UM3406GA-QD134 14"" OLED 60Hz AMD AI 7 445 16GB 1TB DOS"	"Ноутбук, ASUS Zenbook 14 UM3406GA-QD134, 90NB17R1-M006M0, 14"", FHD+ 1920x1200, OLED, 60Hz, AMD Ryzen AI7445, 16GB LPDDR5X, 1TB SSD M.2, AMD Radeon Graphics, DOS, Черный"	624990.0	593740.5
85764	UX3405CA-PP157W	"Ноутбук ASUS Zenbook 14 UX3405CA-PP157W 14"" 3K 120Hz Core 9 285H 16GB 1TB Win11"	"Ноутбук, ASUS Zenbook 14 UX3405CA-PP157W, 90NB14W2-M00LP0, 14"", 3K 2880x1800, OLED, 120Hz, Core Ultra 9 285H, 16GB LPDDR5X, 1TB SSD M.2, Intel Arc Graphics, Windows 11, Серебряный"	759990.0	721990.5
87743	UX5406SA-QJ470W	"Ноутбук ASUS Zenbook S 14 UX5406SA-QJ470W 14"" FHD+ 60Hz Core Ultra 7 258V 32GB 1TB Win 11"	"Ноутбук, ASUS, Zenbook S 14 UX5406SA-QJ470W, 90NB14F1-M00ZU0, 14"",FHD+ 1920x1200, OLED, 60Hz, Core Ultra 7 258V, 32GB LPDDR5X, 1TB SSD M.2, Intel Arc Graphics, Windows 11 Home, Серый + Чехол"	851990.0	809390.5
88192	UX5406AA-QJ045W	"Ноутбук ASUS Zenbook S 14 UX5406AA-QJ045W 14"" FHD+ 60Hz Core Ultra 9 386H 32GB 1TB Win 11"	"Ноутбук, ASUS, Zenbook S 14 UX5406AA-QJ045W, 90NB16Q6-M005A0, 14"", FHD+ 1920x1200, OLED, 60Hz, Core Ultra 9 386H, 32GB LPDDR5X, 1TB SSD M.2, Intel Graphics, Windows 11 Home, Серый"	1029990.0	978490.5
85763	UM5606GA-SS022W	"Ноутбук ASUS Zenbook S 16 UM5606GA-SS022W 16"" 3K 120Hz AMD AI 7 445 32GB 1TB Win11"	"Ноутбук, ASUS Zenbook S 16 UM5606GA-SS022W, 90NB17H2-M006F0, 16"", 3K 2880x1800, OLED, 120Hz, AMD Ryzen AI7445, 32GB LPDDR5X, 1TB SSD M.2, AMD Radeon Graphics, Windows 11, Белый"	999990.0	949990.5
85120	FX607VJB-RL103	"Ноутбук ASUS TUF Gaming F16 FX607VJB-RL103 16"" FHD+ 144Hz Core i5 210H 16GB 512GB RTX3050 DOS"	"Ноутбук, ASUS TUF Gaming F16 FX607VJB-RL103, 90NR0MZ6-M005K0, 16"", FHD+ 1920x1200, IPS, 144Hz, Core 5 210H, 16GB DDR5, 512GB SSD Gen4, NVIDIA GeForce RTX3050, 6GB GDDR6, DOS, Серый"	529990.0	503490.5
85095	FX608JHR-RV144	"Ноутбук ASUS TUF Gaming F16 FX608JHR-RV144 16"" FHD 165Hz Core i5-14450HX 16GB 512GB RTX5050 DOS"	"Ноутбук, ASUS TUF Gaming F16 FX608JHR-RV144, 90NR0NA1-M007N0, 16"", FHD 1920x1200, IPS, 165Hz, Core i5-14450HX, 16GB DDR5, 512GB SSD Gen4, NVIDIA GeForce RTX5050, 8GB GDDR7, DOS, Серый"	699990.0	664990.5
85096	FX608JMR-RV170	"Ноутбук ASUS TUF Gaming F16 FX608JMR-RV170 16"" FHD 165Hz Core i5-14450HX 16GB 512GB RTX5060 DOS"	"Ноутбук, ASUS TUF Gaming F16 FX608JMR-RV170, 90NR0NB1-M009D0, 16"", FHD 1920x1200, IPS, 165Hz, Core i5-14450HX, 16GB DDR5, 512GB SSD Gen4, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Серый"	829990.0	788490.5
87748	FX608JPR-RV118	"Ноутбук ASUS TUF Gaming F16 FX608JPR-RV118 16"" FHD+ 165Hz Core i5 14450HX 16GB 1TB RTX5070 DOS"	"Ноутбук, ASUS, TUF Gaming F16 FX608JPR-RV118, 90NR0NG1-M007F0, 16"", FHD+ 1920x1200, IPS, 165Hz, Core i5 14450HX, 16GB DDR5, 1TB SSD M.2, NVIDIA GeForce RTX 5070, 8GB GDDR7, DOS, Серый"	936990.0	890140.5
87752	FX608JPR-RV133	"Ноутбук ASUS TUF Gaming F16 FX608JPR-RV133 16"" FHD+ 165Hz Core i7 14650HX 16GB 1TB RTX5070 DOS"	"Ноутбук, ASUS, TUF Gaming F16 FX608JPR-RV133, 90NR0NG1-M007Y0, 16"", FHD+ 1920x1200, IPS, 165Hz, Core i7 14650HX, 16GB DDR5, 1TB SSD M.2, NVIDIA GeForce RTX 5070, 8GB GDDR7, DOS , Серый"	994990.0	945240.5
88195	FX707VJB-HX098	"Ноутбук ASUS TUF Gaming F17 FX707VJB-HX098 17,3"" FHD 144Hz Core 5 210H 16GB 512GB RTX3050 DOS"	"Ноутбук, ASUS, TUF Gaming F17 FX707VJB-HX098, 90NR0MY5-M003N0, 17,3"", FHD 1920x1080, IPS, 144Hz, Core 5 210H, 16GB DDR5, 512GB SSD M.2, NVIDIA GeForce RTX 3050, 6GB GDDR6,DOS, Серый"	529990.0	503490.5
85097	FA808UH-S8029	"Ноутбук ASUS TUF Gaming A18 FA808UH-S8029 18"" FHD+ 144Hz Ryzen 7 260 16GB 512GB RTX5050 DOS"	"Ноутбук, ASUS TUF Gaming A18 FA808UH-S8029, 90NR0NM1-M001B0, 18"", FHD+ 1920x1200, IPS, 144Hz, Ryzen 7 260, 16GB DDR5, 512GB SSD Gen4, NVIDIA GeForce RTX5050, 8GB GDDR7, DOS, Серый"	769990.0	731490.5
88193	FX608JMI-TU367	"Ноутбук ASUS TUF Gaming F16 FX608JMI-TU367 16"" FHD+ 144Hz Core i7 14650HX 16GB 512GB RTX5060 DOS"	"Ноутбук, ASUS, TUF Gaming F16 FX608JMI-TU367, 90NR0NB1-M00LT0, 16"", FHD+ 1920x1200, IPS, 144Hz, Core i7 14650HX, 16GB DDR5, 512GB SSD M.2, NVIDIA GeForce RTX 5060, 8GB GDDR7, DOS, Серый"	799990.0	759990.5
88117	H7606WM-SR118X	"Ноутбук ASUS ProArt P16 H7606WM-SR118X 16"" 3K 120Hz Ryzen AI 9 HX 370 32GB 2TB RTX5060 Win 11"	"Ноутбук, ASUS, ProArt P16 H7606WM-SR118X, 90NB15L1-M009M0, 16"", 3K 2880x1800, OLED, 120Hz, Ryzen AI 9 HX 370, 32GB LPDDR5X, 2TB SSD M.2, NVIDIA GeForce RTX 5060, 8GB GDDR7, Windows 11 Pro, Черный + Сумка, USB-A to RJ45"	1644990.0	1562740.5
85093	H7606WX-SE002X	"Ноутбук ASUS ProArt P16 H7606WX-SE002X 16"" 4K 120Hz Ryzen AI 9 HX 370 64GB 4TB RTX5090 Win 11 Pro"	"Ноутбук, ASUS ProArt P16 H7606WX-SE002X, 90NB17E1-M000Y0, 16"",4K 3840x2400, OLED, 120Hz, Ryzen AI 9 HX 370, 64GB LPDDR5X, 2TB SSD Gen4*2, NVIDIA GeForce RTX5090, 24GB GDDR7, Windows 11 Pro, Черный, Рюкзак"	2799990.0	2659990.5
85113	X1504VA-BQ4055	"Ноутбук ASUS Vivobook 15 X1504VA-BQ4055 15,6"" FHD 60Hz Core 5 120U 16GB 512GB DOS"	"Ноутбук, ASUS Vivobook 15 X1504VA-BQ4055, 90NB13Y1-M01PX0, 15,6"",FHD 1920x1080, IPS, 60Hz, Core 5 120U, 16GB DDR5, 512GB SSD Gen4, Intel Graphics, DOS, Синий"	369990.0	351490.5
85707	M1502NAQ-BQ048	"Ноутбук ASUS Vivobook 15 M1502NAQ-BQ048 15,6"" FHD 60Hz Ryzen 7 170 16GB 512GB DOS"	"Ноутбук, ASUS Vivobook 15 M1502NAQ-BQ048, 90NB1841-M001W0, 15,6"", FHD 1920x1080, IPS, 60Hz, Ryzen 7 170, 16GB DDR5, 512GB SSD M.2, AMD Radeon Graphics, DOS, Синий"	389990.0	370490.5
85112	X1504VA-BQ4163	"Ноутбук ASUS Vivobook 15 X1504VA-BQ4163 15,6"" FHD 60Hz Core 7 150U 16GB 512GB DOS"	"Ноутбук, ASUS Vivobook 15 X1504VA-BQ4163, 90NB13Y1-M024B0, 15,6"",FHD 1920x1080, IPS, 60Hz, Core 7 150U, 16GB DDR5, 512GB SSD Gen4, Intel Graphics, DOS, Синий"	419990.0	398990.5
88115	M1605NAQ-SH322	"Ноутбук ASUS Vivobook 16 M1605NAQ-SH322 16"" FHD+ 60Hz Ryzen 5 150 24GB 512GB DOS"	"Ноутбук, ASUS, Vivobook 16 M1605NAQ-SH322, 90NB1832-M00JW0, 16"", FHD+ 1920x1200, OLED, 60Hz, Ryzen 5 150, 24GB DDR5, 512GB SSD M.2, AMD Radeon Graphics, DOS, Серебряный"	436990.0	415140.5
85115	S3607VA-RP097W	"Ноутбук ASUS Vivobook S16 S3607VA-RP097W 16"" FHD+ 144Hz Core 5 210H 16GB 512GB Win11"	"Ноутбук, ASUS Vivobook S16 S3607VA-RP097W, 90NB1671-M00770, 16"",FHD+ 1920x1200, IPS, 144Hz, Core 5 210H, 16GB DDR5, 512GB SSD Gen4, Intel UHD Graphics, Windows 11 Home, Серебристый"	419990.0	398990.5
87396	G614PP-S5040	"Ноутбук ASUS ROG Strix G16 G614PP-S5040 16"" 2.5K 240Hz Ryzen 9 8940HX 32GB 1TB RTX5070 DOS"	"Ноутбук, ASUS, ROG Strix G16 G614PP-S5040, 90NR0L67-M001M0, 16"", 2.5K 2560x1600, IPS, 240Hz, AMD Ryzen 9 8940HX, 32GB DDR5, 1TB SSD M.2, NVIDIA GeForce RTX 5070, 8GB GDDR7, DOS, Серый"	1289990.0	1225490.5
85100	G614PR-RV027	"Ноутбук ASUS ROG Strix G16 G614PR-RV027 16"" FHD+ 165Hz AMD Ryzen 9 8940HX 16GB 1TB RTX5070 Ti DOS"	"Ноутбук, ASUS, ROG Strix G16 G614PR-RV027, 90NR0NJ7-M001J0, 16"",FHD+ 1920x1200, IPS, 165Hz, AMD Ryzen 9 8940HX, 16GB DDR5, 1TB SSD Gen4, NVIDIA GeForce RTX5070 Ti, 12GB GDDR7, DOS, Серый"	1389990.0	1320490.5
87744	GU605CM-QR104	"Ноутбук ASUS ROG Zephyrus G16 GU605CM-QR104 16"" 2.5K 240Hz Core Ultra 7 255H 32GB 1TB RTX5060 DOS"	"Ноутбук, ASUS, ROG Zephyrus G16 GU605CM-QR104, 90NR0M21-M00590, 16"",2.5K 2560x1600, OLED, 240Hz, Core Ultra 7 255H, 32GB LPDDR5X, 1TB SSD M.2, NVIDIA GeForce RTX 5060, 8GB GDDR7, DOS, Серый + Чехол"	1386990.0	1317640.5
87745	GZ302EA-RU045W	"Ноутбук ASUS ROG Flow Z13 GZ302EA-RU045W 13,4"" 2.5K 180Hz Ryzen AI MAX+395 32GB 1TB Radeon 8060S Win"	"Ноутбук, ASUS, ROG Flow Z13 GZ302EA-RU045W, 90NR0JY1-M002E0, 13,4"",2.5K 2560x1600, IPS, 180Hz, Ryzen AI MAX+395, 32GB LPDDR5X, 1TB SSD M.2, AMD Radeon 8060S, Windows 11 Home, Черный + Стилус, Чехол"	1534990.0	1458240.5
68813	9S7-15K111-1638	"Ноутбук MSI Cyborg 15 A13VE 15.6"" FHD 144Hz i5-13420H 16GB 512GB RTX4050 DOS"	"Ноутбук, MSI, Cyborg 15 A13VE, MS-15K1, 9S7-15K111-1638, 15.6"", FHD 1920x1080, IPS, 144Hz, Raptor Lake i5-13420H, 16GB DDR5, 512GB SSD Gen4, NVIDIA GeForce RTX 4050, 6GB GDDR6, DOS, Черный"	499990.0	474990.5
82674	9S7-15Q342-643	"Ноутбук MSI Cyborg 15 B2RWEKG-643XKZ 15,6"" FHD 144Hz Core 5 210H 16GB 512GB RTX5050 DOS"	"Ноутбук, MSI Cyborg 15 B2RWEKG-643XKZ, 9S7-15Q342-643, 15.6"", FHD 1980x1080, IPS, 144Hz, Core 5 210H, 16GB DDR5, 512GB SSD Gen4, NVIDIA GeForce RTX5050, 8GB GDDR7, DOS, Черный"	589990.0	560490.5
86444	9S7-15Q342-1053	"Ноутбук MSI Cyborg 15 B2RWEKG-1053XKZ 15,6"" FHD 144Hz Core 5 210H 16GB 1TB RTX5050 DOS"	"Ноутбук, MSI, Cyborg 15 B2RWEKG-1053XKZ, MS-15Q3, 9S7-15Q342-1053, 15,6"", FHD 1920x1080, IPS, 144Hz, Intel Core 5 210H, 8GB*2 DDR5, 1TB SSD Gen5, NVIDIA GeForce RTX5050, 8GB GDDR7, DOS, Черный"	719990.0	683990.5
88963	9S7-15T121-061	"Ноутбук MSI Cyborg 15 C2WE-061XKZ 15,6"" FHD 144Hz Core 5 210H 16GB 1TB RTX5050 DOS"	"Ноутбук, MSI, Cyborg 15 C2WE-061XKZ, MS-15T1, 9S7-15T121-061, 15,6"", FHD 1920x1080, IPS, 144Hz, Intel Core 5 210H, 16GB*1 DDR5, 1TB SSD Gen5, NVIDIA GeForce RTX5050, 8GB GDDR7, DOS, Черный"	749990.0	712490.5
86443	9S7-15Q342-1052	"Ноутбук MSI Cyborg 15 B2RWEKG-1052XKZ 15,6"" FHD 144Hz Core 7 240H 16GB 1TB RTX5050 DOS"	"Ноутбук, MSI, Cyborg 15 B2RWEKG-1052XKZ, MS-15Q3, 9S7-15Q342-1052, 15,6"", FHD 1920x1080, IPS, 144Hz, Intel Core 7 240H, 8GB*2 DDR5, 1TB SSD Gen5, NVIDIA GeForce RTX5050, 8GB GDDR7, DOS, Черный"	789990.0	750490.5
86442	9S7-15Q342-1051	"Ноутбук MSI Cyborg 15 B2RWFKG-1051XKZ 15,6"" FHD 144Hz Core 7 240H 16GB 1TB RTX5060 DOS"	"Ноутбук, MSI, Cyborg 15 B2RWFKG-1051XKZ, MS-15Q3, 9S7-15Q342-1051, 15,6"", FHD 1920x1080, IPS, 144Hz, Intel Core 7 240H, 8GB*2 DDR5, 1TB SSD Gen5, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Черный"	839990.0	797990.5
87590	9S7-15T121-011	"Ноутбук MSI Cyborg 15 C2WF-011XKZ 15,6"" FHD 144Hz Core 7 240H 16GB 1TB RTX5060 DOS"	"Ноутбук, MSI, Cyborg 15 C2WF-011XKZ, MS-15T1, 9S7-15T121-011, 15,6"", FHD 1920x1080, IPS, 144Hz, Intel Core 7 240H, 16GB DDR5, 1TB SSD Gen5, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Черный"	849990.0	807490.5
86436	9S7-17U332-294	"Ноутбук MSI Cyborg 17 B2RWEKG-294XKZ 17,3"" FHD 144Hz Core 7 240H 16GB 1TB RTX5050 DOS"	"Ноутбук, MSI, Cyborg 17 B2RWEKG-294XKZ, MS-17U3, 9S7-17U332-294, 17,3"", FHD 1920x1080, IPS, 144Hz, Intel Core 7 240H, 8GB*2 DDR5, 1TB SSD Gen5, NVIDIA GeForce RTX5050, 8GB GDDR7, DOS, Черный"	874990.0	831240.5
86435	9S7-17U332-290	"Ноутбук MSI Cyborg 17 B2RWFKG-290XKZ 17,3"" FHD 144Hz Core 5 210H 16GB 1TB RTX5060 DOS"	"Ноутбук, MSI, Cyborg 17 B2RWFKG-290XKZ, MS-17U3, 9S7-17U332-290, 17,3"", FHD 1920x1080, IPS, 144Hz, Intel Core 5 210H, 8GB*2 DDR5, 1TB SSD Gen5, NVIDIA GeForce RTX5060, 8GB GDDR7, DOS, Черный"	899990.0	854990.5
86434	9S7-17U332-288	"Ноутбук MSI Cyborg 17 B2RWGKG-288XKZ 17,3"" FHD 144Hz Core 7 240H 16GB 1TB RTX5070 DOS"	"Ноутбук, MSI, Cyborg 17 B2RWGKG-288XKZ, MS-17U3, 9S7-17U332-288, 17,3"", FHD 1920x1080, IPS, 144Hz, Intel Core 7 240H, 8GB*2 DDR5, 1TB SSD Gen5, NVIDIA GeForce RTX5070, 8GB GDDR7, DOS, Черный"	1039990.0	987990.5
86446	9S7-16R831-3459	"Ноутбук MSI Thin 15 B2RVE-3459XKZ 15,6"" FHD 144Hz Core 5 210H 16GB 512GB RTX4050 DOS"	"Ноутбук, MSI, Thin 15 B2RVE-3459XKZ, MS-16R8, 9S7-16R831-3459, 15,6"", FHD 1920x1080, IPS, 144Hz, Intel Core 5 210H, 16GB DDR4, 512GB SSD Gen5, NVIDIA GeForce RTX4050, 6GB GDDR6, DOS, Серый"	589990.0	560490.5
